year,n_trades,win_pct,avg_r,median_r,total_r,best_r,worst_r,maxDD_r,mcl,baseline_total_r,saved_r,sl_hits,be_hits,tp_hits
2025,566,21.91,0.1703,-1.0121,96.42,19.48,-1.32,75.7,30,176.92,-80.5,442,12,112
2026,24,25.0,2.4505,-1.0363,58.81,19.45,-1.08,8.48,8,58.81,0.0,18,0,6
