stream,n_trades,baseline_total_r,managed_total_r,saved_r,saved_per_trade,n_improved,n_worse,n_unchanged,avg_save_improved,avg_hurt_worse,baseline_win_pct,managed_win_pct
S1,127,89.36,89.36,0.0,0.0,0,0,127,0.0,0.0,13.39,13.39
S2,284,-0.77,-0.77,0.0,0.0,0,0,284,0.0,0.0,25.7,25.7
S3,46,6.63,6.63,0.0,0.0,0,0,46,0.0,0.0,19.57,19.57
S4,43,142.36,61.86,-80.5,-1.8721,6,5,32,2.0,-18.5,23.26,37.21
S5,90,-1.85,-1.85,0.0,0.0,0,0,90,0.0,0.0,16.67,16.67
