stream,mfe_bucket,n_trades,win_pct,avg_r,total_r,tp_hits,be_hits,sl_hits
S1,0-1R,50,0.0,-1.0335,-51.68,0,0,50
S1,1-2R,18,0.0,-1.0185,-18.33,0,0,18
S1,2-3.5R,16,0.0,-1.0258,-16.41,0,0,16
S1,3.5-6.5R,12,0.0,-1.0468,-12.56,0,0,12
S1,6.5-10R,10,0.0,-1.0435,-10.43,0,0,10
S1,>10R,21,80.95,9.4657,198.78,17,0,4
S2,0-1R,134,0.0,-1.0325,-138.36,0,0,134
S2,1-2R,47,0.0,-1.0254,-48.19,0,0,47
S2,2-3.5R,89,74.16,1.9382,172.5,66,0,23
S2,3.5-6.5R,6,100.0,2.941,17.65,6,0,0
S2,6.5-10R,1,100.0,2.9746,2.97,1,0,0
S2,<=0R,7,0.0,-1.0476,-7.33,0,0,7
S3,0-1R,28,0.0,-0.835,-23.38,0,0,28
S3,1-2R,5,0.0,-0.8981,-4.49,0,0,5
S3,2-3.5R,4,0.0,-0.9028,-3.61,0,0,4
S3,3.5-6.5R,9,100.0,4.2347,38.11,9,0,0
S4,0-1R,20,0.0,-1.0227,-20.45,0,0,20
S4,1-2R,2,0.0,-1.0278,-2.06,0,0,2
S4,2-3.5R,4,0.0,-1.0294,-4.12,0,0,4
S4,3.5-6.5R,6,100.0,0.98,5.88,0,6,0
S4,6.5-10R,5,100.0,0.97,4.85,0,5,0
S4,<=0R,1,0.0,-1.0197,-1.02,0,0,1
S4,>10R,5,100.0,15.7546,78.77,4,1,0
S5,0-1R,48,0.0,-1.0203,-48.97,0,0,48
S5,1-2R,14,0.0,-1.0196,-14.27,0,0,14
S5,2-3.5R,5,0.0,-1.0231,-5.12,0,0,5
S5,3.5-6.5R,21,71.43,3.2686,68.64,15,0,6
S5,<=0R,2,0.0,-1.0666,-2.13,0,0,2
