stream,reason,n,pct_of_stream,avg_r,total_r
S1,SL,110,86.61,-1.0337,-113.7
S1,TP,17,13.39,11.945,203.06
S2,SL,211,74.3,-1.0314,-217.63
S2,TP,73,25.7,2.9707,216.86
S3,SL,37,80.43,-0.8509,-31.48
S3,TP,9,19.57,4.2347,38.11
S4,BE,12,27.91,0.9766,11.72
S4,SL,27,62.79,-1.0239,-27.65
S4,TP,4,9.3,19.4461,77.78
S5,SL,75,83.33,-1.0209,-76.57
S5,TP,15,16.67,4.9811,74.72
