stream,sym,n_trades,win_pct,avg_r,median_r,total_r,best_r,worst_r,maxDD_r,mcl,baseline_total_r,saved_r,sl_hits,be_hits,tp_hits
S1,AVAXUSDT,41,4.88,-0.3772,-1.0114,-15.47,11.99,-1.02,17.19,18,-15.47,0.0,39,0,2
S1,LTCUSDT,29,13.79,0.7803,-1.0104,22.63,11.98,-1.02,8.1,8,22.63,0.0,25,0,4
S1,PAXGUSDT,57,19.3,1.4421,-1.0547,82.2,11.97,-1.12,12.93,12,82.2,0.0,46,0,11
S2,AVAXUSDT,117,33.33,0.3199,-1.0106,37.43,2.99,-1.02,18.89,15,37.43,0.0,78,0,39
S2,LTCUSDT,94,19.15,-0.251,-1.0148,-23.6,2.99,-1.03,37.52,20,-23.6,0.0,76,0,18
S2,PAXGUSDT,73,21.92,-0.2,-1.0565,-14.6,2.99,-1.21,19.19,10,-14.6,0.0,57,0,16
S3,AVAXUSDT,22,27.27,0.5228,-0.7974,11.5,4.24,-1.27,9.07,10,11.5,0.0,16,0,6
S3,LTCUSDT,19,5.26,-0.5235,-0.7643,-9.95,4.24,-1.17,9.1,12,-9.95,0.0,18,0,1
S3,PAXGUSDT,5,40.0,1.0154,-1.014,5.08,4.22,-1.32,2.33,2,5.08,0.0,3,0,2
S4,AVAXUSDT,11,36.36,-0.2829,-1.0067,-3.11,0.99,-1.01,4.1,4,29.89,-33.0,7,4,0
S4,LTCUSDT,18,33.33,0.6794,-1.0115,12.23,19.48,-1.02,9.17,9,22.73,-10.5,12,5,1
S4,PAXGUSDT,14,42.86,3.7671,-1.0252,52.74,19.45,-1.08,5.48,4,89.74,-37.0,8,3,3
S5,AVAXUSDT,34,26.47,0.5792,-1.0079,19.69,4.99,-1.01,18.17,18,19.69,0.0,25,0,9
S5,LTCUSDT,26,11.54,-0.3184,-1.0105,-8.28,4.99,-1.02,20.22,20,-8.28,0.0,23,0,3
S5,PAXGUSDT,30,10.0,-0.4423,-1.0339,-13.27,4.98,-1.08,12.2,12,-13.27,0.0,27,0,3
