stream,sym,exit_ts_utc,managed_r,cum_r
S1,LTCUSDT,2025-01-06T01:20:00+00:00,-1.015689,-1.0157
S1,LTCUSDT,2025-01-18T05:40:00+00:00,-1.005933,-2.0216
S1,LTCUSDT,2025-01-19T05:10:00+00:00,-1.005584,-3.0272
S1,AVAXUSDT,2025-01-19T08:20:00+00:00,-1.01013,-4.0373
S1,LTCUSDT,2025-01-27T07:15:00+00:00,-1.009785,-5.0471
S1,LTCUSDT,2025-01-30T20:35:00+00:00,-1.008208,-6.0553
S1,AVAXUSDT,2025-02-21T15:35:00+00:00,-1.012983,-7.0683
S1,AVAXUSDT,2025-03-03T06:50:00+00:00,-1.007352,-8.0757
S1,AVAXUSDT,2025-03-04T01:40:00+00:00,-1.005342,-9.081
S1,LTCUSDT,2025-03-18T00:45:00+00:00,-1.012316,-10.0933
S1,AVAXUSDT,2025-03-20T01:30:00+00:00,-1.009402,-11.1027
S1,AVAXUSDT,2025-03-28T07:20:00+00:00,-1.011844,-12.1146
S1,AVAXUSDT,2025-03-28T08:30:00+00:00,-1.012117,-13.1267
S1,AVAXUSDT,2025-04-10T03:15:00+00:00,-1.006119,-14.1328
S1,LTCUSDT,2025-04-10T03:15:00+00:00,-1.007433,-15.1402
S1,LTCUSDT,2025-04-21T16:50:00+00:00,-1.017555,-16.1578
S1,AVAXUSDT,2025-04-21T16:55:00+00:00,-1.013684,-17.1715
S1,PAXGUSDT,2025-04-22T16:35:00+00:00,-1.058933,-18.2304
S1,PAXGUSDT,2025-04-22T19:30:00+00:00,-1.060306,-19.2907
S1,PAXGUSDT,2025-04-22T21:25:00+00:00,-1.073718,-20.3644
S1,LTCUSDT,2025-04-23T15:15:00+00:00,-1.015095,-21.3795
S1,AVAXUSDT,2025-04-30T13:40:00+00:00,-1.010055,-22.3896
S1,PAXGUSDT,2025-05-06T05:45:00+00:00,-1.038206,-23.4278
S1,LTCUSDT,2025-05-07T14:30:00+00:00,-1.010255,-24.438
S1,PAXGUSDT,2025-05-08T16:20:00+00:00,-1.050335,-25.4884
S1,PAXGUSDT,2025-05-09T01:35:00+00:00,-1.051786,-26.5402
S1,LTCUSDT,2025-05-09T08:20:00+00:00,11.984145,-14.556
S1,LTCUSDT,2025-05-09T08:25:00+00:00,11.984257,-2.5718
S1,AVAXUSDT,2025-05-11T07:05:00+00:00,-1.009277,-3.581
S1,PAXGUSDT,2025-05-11T22:45:00+00:00,-1.056382,-4.6374
S1,AVAXUSDT,2025-05-19T06:50:00+00:00,-1.011391,-5.6488
S1,PAXGUSDT,2025-05-28T23:35:00+00:00,-1.039606,-6.6884
S1,LTCUSDT,2025-05-31T00:15:00+00:00,-1.011809,-7.7002
S1,AVAXUSDT,2025-06-03T04:30:00+00:00,-1.013014,-8.7132
S1,PAXGUSDT,2025-06-06T14:20:00+00:00,-1.062707,-9.7759
S1,PAXGUSDT,2025-06-09T00:45:00+00:00,-1.070988,-10.8469
S1,AVAXUSDT,2025-06-10T15:30:00+00:00,-1.011924,-11.8589
S1,AVAXUSDT,2025-06-11T22:00:00+00:00,-1.012171,-12.871
S1,LTCUSDT,2025-06-12T04:10:00+00:00,-1.017172,-13.8882
S1,LTCUSDT,2025-06-20T17:35:00+00:00,-1.010406,-14.8986
S1,LTCUSDT,2025-06-21T19:35:00+00:00,-1.010048,-15.9087
S1,LTCUSDT,2025-06-22T13:40:00+00:00,-1.013648,-16.9223
S1,PAXGUSDT,2025-06-22T22:00:00+00:00,-1.053181,-17.9755
S1,AVAXUSDT,2025-06-30T01:30:00+00:00,-1.017312,-18.9928
S1,PAXGUSDT,2025-07-01T18:25:00+00:00,-1.075125,-20.0679
S1,LTCUSDT,2025-07-03T12:35:00+00:00,-1.01538,-21.0833
S1,AVAXUSDT,2025-07-04T07:25:00+00:00,-1.014357,-22.0977
S1,AVAXUSDT,2025-07-04T15:30:00+00:00,-1.016438,-23.1141
S1,LTCUSDT,2025-07-11T22:25:00+00:00,-1.017891,-24.132
S1,AVAXUSDT,2025-07-12T15:35:00+00:00,-1.013172,-25.1452
S1,AVAXUSDT,2025-07-17T23:35:00+00:00,11.985799,-13.1594
S1,LTCUSDT,2025-07-18T03:15:00+00:00,11.97864,-1.1807
S1,LTCUSDT,2025-07-18T15:10:00+00:00,-1.008773,-2.1895
S1,AVAXUSDT,2025-07-18T19:45:00+00:00,-1.007773,-3.1973
S1,PAXGUSDT,2025-07-22T02:00:00+00:00,-1.084521,-4.2818
S1,PAXGUSDT,2025-07-23T13:20:00+00:00,-1.073893,-5.3557
S1,PAXGUSDT,2025-07-24T05:40:00+00:00,-1.098952,-6.4546
S1,PAXGUSDT,2025-07-24T09:15:00+00:00,-1.111694,-7.5663
S1,AVAXUSDT,2025-07-28T16:55:00+00:00,-1.012332,-8.5787
S1,AVAXUSDT,2025-08-05T06:30:00+00:00,-1.013294,-9.592
