event_type,event_side,structure_regime,count
FVG,bearish,BALANCE,2157
FVG,bearish,IMBALANCE,488
FVG,bullish,BALANCE,2050
FVG,bullish,IMBALANCE,537
ORDER_BLOCK_PROXY,bearish,BALANCE,772
ORDER_BLOCK_PROXY,bearish,IMBALANCE,219
ORDER_BLOCK_PROXY,bullish,BALANCE,630
ORDER_BLOCK_PROXY,bullish,IMBALANCE,188
