ts,event_type,event_side,event_strength_bps,notes,structure_regime,vol_regime,combined_regime,regime_bias,close,atr_pct,hour_utc,weekday
2022-05-05 12:00:00+00:00,FVG,bearish,44.955044955045544,high[i] < low[i-2],BALANCE,HIGH_VOL,BALANCE__HIGH_VOL,bearish,0.6006,2.8802681500967404,12,Thursday
2022-05-05 16:00:00+00:00,FVG,bearish,491.91374663072787,high[i] < low[i-2],BALANCE,NORMAL_VOL,BALANCE__NORMAL_VOL,bearish,0.5936,3.0321714553240917,16,Thursday
2022-05-08 00:00:00+00:00,FVG,bearish,128.89740463333845,high[i] < low[i-2],IMBALANCE,NORMAL_VOL,IMBALANCE__NORMAL_VOL,bearish,0.5741,2.5710225920336987,0,Sunday
2022-05-09 08:00:00+00:00,FVG,bearish,76.46400596792229,high[i] < low[i-2],IMBALANCE,HIGH_VOL,IMBALANCE__HIGH_VOL,bearish,0.5362,2.9580864159569966,8,Monday
2022-05-09 12:00:00+00:00,FVG,bearish,55.11212466742709,high[i] < low[i-2],IMBALANCE,HIGH_VOL,IMBALANCE__HIGH_VOL,bearish,0.5262,3.187223376645197,12,Monday
2022-05-09 20:00:00+00:00,FVG,bearish,123.25390304026305,high[i] < low[i-2],IMBALANCE,NORMAL_VOL,IMBALANCE__NORMAL_VOL,bearish,0.4868,4.257109769272349,20,Monday
2022-05-10 08:00:00+00:00,FVG,bullish,95.49274255156617,low[i] > high[i-2],IMBALANCE,NORMAL_VOL,IMBALANCE__NORMAL_VOL,bearish,0.5236,4.282520426115392,8,Tuesday
2022-05-11 16:00:00+00:00,FVG,bearish,1014.8094197620784,high[i] < low[i-2],IMBALANCE,HIGH_VOL,IMBALANCE__HIGH_VOL,bearish,0.4119,7.369920645620578,16,Wednesday
2022-05-13 00:00:00+00:00,ORDER_BLOCK_PROXY,bullish,1344.1222746684653,prev bear candle + up displacement close > prev high,BALANCE,NORMAL_VOL,BALANCE__NORMAL_VOL,bearish,0.4449,7.975800683788214,0,Friday
2022-05-13 04:00:00+00:00,FVG,bullish,856.481481481481,low[i] > high[i-2],BALANCE,NORMAL_VOL,BALANCE__NORMAL_VOL,bearish,0.432,8.187770901922272,4,Friday
2022-05-14 12:00:00+00:00,FVG,bearish,268.9912826899122,high[i] < low[i-2],IMBALANCE,NORMAL_VOL,IMBALANCE__NORMAL_VOL,bearish,0.4015,7.27017301425784,12,Saturday
2022-05-16 08:00:00+00:00,FVG,bearish,160.0191067590156,high[i] < low[i-2],BALANCE,NORMAL_VOL,BALANCE__NORMAL_VOL,bearish,0.4187,5.276278329806037,8,Monday
2022-05-18 16:00:00+00:00,FVG,bearish,161.25150421179265,high[i] < low[i-2],BALANCE,NORMAL_VOL,BALANCE__NORMAL_VOL,bearish,0.4155,4.042074733009767,16,Wednesday
2022-05-19 16:00:00+00:00,FVG,bullish,134.38924886009238,low[i] > high[i-2],BALANCE,NORMAL_VOL,BALANCE__NORMAL_VOL,bearish,0.4167,3.7844171906431088,16,Thursday
2022-05-20 04:00:00+00:00,FVG,bullish,126.07985057202932,low[i] > high[i-2],BALANCE,NORMAL_VOL,BALANCE__NORMAL_VOL,bearish,0.4283,3.558057616269335,4,Friday
2022-05-20 16:00:00+00:00,FVG,bearish,316.4556962025319,high[i] < low[i-2],BALANCE,NORMAL_VOL,BALANCE__NORMAL_VOL,bearish,0.4108,3.6016561772332865,16,Friday
2022-05-23 16:00:00+00:00,ORDER_BLOCK_PROXY,bearish,433.7172261700562,prev bull candle + down displacement close < prev low,BALANCE,NORMAL_VOL,BALANCE__NORMAL_VOL,bearish,0.4081,2.44404901544023,16,Monday
2022-05-23 20:00:00+00:00,FVG,bearish,143.2806324110665,high[i] < low[i-2],BALANCE,NORMAL_VOL,BALANCE__NORMAL_VOL,bearish,0.4048,2.566772522871092,20,Monday
2022-05-26 08:00:00+00:00,FVG,bearish,188.09585158464387,high[i] < low[i-2],IMBALANCE,NORMAL_VOL,IMBALANCE__NORMAL_VOL,bearish,0.3881,2.7113962316708946,8,Thursday
2022-05-29 12:00:00+00:00,FVG,bullish,38.83997928534442,low[i] > high[i-2],BALANCE,NORMAL_VOL,BALANCE__NORMAL_VOL,bearish,0.3862,2.1372821966813667,12,Sunday
2022-05-30 04:00:00+00:00,FVG,bullish,164.8351648351647,low[i] > high[i-2],BALANCE,NORMAL_VOL,BALANCE__NORMAL_VOL,neutral,0.4004,2.081641577631724,4,Monday
2022-05-31 00:00:00+00:00,FVG,bullish,270.01194743130173,low[i] > high[i-2],BALANCE,NORMAL_VOL,BALANCE__NORMAL_VOL,neutral,0.4185,2.0998705154034902,0,Tuesday
2022-06-01 16:00:00+00:00,FVG,bearish,124.28535918468815,high[i] < low[i-2],BALANCE,NORMAL_VOL,BALANCE__NORMAL_VOL,neutral,0.4023,2.467055247187808,16,Wednesday
2022-06-01 20:00:00+00:00,FVG,bearish,113.150616042243,high[i] < low[i-2],BALANCE,NORMAL_VOL,BALANCE__NORMAL_VOL,neutral,0.3977,2.5741679365759396,20,Wednesday
2022-06-03 00:00:00+00:00,FVG,bullish,66.09547123622963,low[i] > high[i-2],BALANCE,NORMAL_VOL,BALANCE__NORMAL_VOL,neutral,0.4085,2.275888672134655,0,Friday
2022-06-03 12:00:00+00:00,FVG,bearish,211.66752710376832,high[i] < low[i-2],BALANCE,NORMAL_VOL,BALANCE__NORMAL_VOL,bearish,0.3874,2.437243325165183,12,Friday
2022-06-03 16:00:00+00:00,FVG,bearish,72.50129466597538,high[i] < low[i-2],BALANCE,NORMAL_VOL,BALANCE__NORMAL_VOL,bearish,0.3862,2.34971606758099,16,Friday
2022-06-06 00:00:00+00:00,ORDER_BLOCK_PROXY,bullish,195.98114611758913,prev bear candle + up displacement close > prev high,BALANCE,NORMAL_VOL,BALANCE__NORMAL_VOL,neutral,0.4031,1.7200745227771823,0,Monday
2022-06-06 16:00:00+00:00,FVG,bearish,27.51375687843897,high[i] < low[i-2],BALANCE,NORMAL_VOL,BALANCE__NORMAL_VOL,neutral,0.3998,1.7031392380511414,16,Monday
2022-06-07 00:00:00+00:00,ORDER_BLOCK_PROXY,bearish,360.5459696111257,prev bull candle + down displacement close < prev low,BALANCE,NORMAL_VOL,BALANCE__NORMAL_VOL,bearish,0.3883,1.9718953679041964,0,Tuesday
2022-06-07 04:00:00+00:00,FVG,bearish,102.53781081773913,high[i] < low[i-2],BALANCE,NORMAL_VOL,BALANCE__NORMAL_VOL,bearish,0.3901,1.9123174694480514,4,Tuesday
2022-06-07 20:00:00+00:00,FVG,bullish,139.94598575988172,low[i] > high[i-2],BALANCE,NORMAL_VOL,BALANCE__NORMAL_VOL,neutral,0.4073,2.212128554663378,20,Tuesday
2022-06-10 04:00:00+00:00,FVG,bullish,22.21673660824517,low[i] > high[i-2],BALANCE,NORMAL_VOL,BALANCE__NORMAL_VOL,bullish,0.4051,1.8215466508607379,4,Friday
2022-06-10 12:00:00+00:00,FVG,bearish,12.916559028674772,high[i] < low[i-2],BALANCE,NORMAL_VOL,BALANCE__NORMAL_VOL,neutral,0.3871,2.087164955748432,12,Friday
2022-06-10 16:00:00+00:00,FVG,bearish,298.9771833202209,high[i] < low[i-2],BALANCE,NORMAL_VOL,BALANCE__NORMAL_VOL,bearish,0.3813,2.19985017549227,16,Friday
2022-06-10 20:00:00+00:00,FVG,bearish,15.743899239044593,high[i] < low[i-2],BALANCE,NORMAL_VOL,BALANCE__NORMAL_VOL,bearish,0.3811,2.1637435496678092,20,Friday
2022-06-11 08:00:00+00:00,ORDER_BLOCK_PROXY,bearish,316.5735567970196,prev bull candle + down displacement close < prev low,BALANCE,NORMAL_VOL,BALANCE__NORMAL_VOL,bearish,0.3759,2.201608325550409,8,Saturday
2022-06-11 12:00:00+00:00,FVG,bearish,172.12659633536876,high[i] < low[i-2],BALANCE,NORMAL_VOL,BALANCE__NORMAL_VOL,bearish,0.3602,2.5538588491447576,12,Saturday
2022-06-11 16:00:00+00:00,FVG,bearish,109.25976509150516,high[i] < low[i-2],BALANCE,NORMAL_VOL,BALANCE__NORMAL_VOL,bearish,0.3661,2.5614975313156525,16,Saturday
2022-06-12 04:00:00+00:00,FVG,bearish,180.93049971280954,high[i] < low[i-2],IMBALANCE,NORMAL_VOL,IMBALANCE__NORMAL_VOL,bearish,0.3482,2.975462780821157,4,Sunday
2022-06-13 00:00:00+00:00,FVG,bearish,54.38066465256869,high[i] < low[i-2],IMBALANCE,HIGH_VOL,IMBALANCE__HIGH_VOL,bearish,0.331,3.8536432368630833,0,Monday
