regime,occurrences_4h,avg_bars_4h,median_bars_4h,occurrences_1h,avg_bars_1h,median_bars_1h,avg_hours_4h,avg_hours_1h,avg_hours_blend,transition_stay_4h,transition_stay_1h,transition_stay_blend,occurrence_ratio_1h_vs_4h
BALANCE,589,11.417657045840407,5.0,2417,11.133223003723625,5.0,45.67062818336163,11.133223003723625,31.855666111506427,0.9126,0.9102,0.91164,4.103565365025467
IMBALANCE,327,4.018348623853211,2.0,1258,4.3147853736089035,2.0,16.073394495412845,4.3147853736089035,11.369950846691268,0.7511,0.7682,0.75794,3.8470948012232418
HIGH_VOL,257,1.33852140077821,1.0,921,1.3963083604777415,1.0,5.35408560311284,1.3963083604777415,3.7709747060588006,0.2529,0.2838,0.26526000000000005,3.5836575875486383
LOW_VOL,233,1.5107296137339057,1.0,980,1.4020408163265305,1.0,6.042918454935623,1.4020408163265305,4.186567399491985,0.3381,0.2868,0.31758000000000003,4.206008583690987
