structure_regime,event_side,premium_discount_zone,n,mean_gap_bps,mean_mfe_r,mean_mae_r,plus_hit,minus_hit,both_hit,fill_fast,fill_slow,edge_score
BALANCE,bearish,discount,544,74.60514828350416,3.3362844462683423,3.0057531018439825,0.5036764705882353,0.4889705882352941,0.0055147058823529415,0.6764705882352942,0.7977941176470589,0.01470588235294118
BALANCE,bearish,premium,54,98.07661059663262,2.321344956627288,2.290378683719321,0.4444444444444444,0.5555555555555556,0.0,0.7222222222222222,0.8333333333333334,-0.11111111111111116
BALANCE,bullish,discount,20,31.93558219047941,1.6766196143576342,2.6379159285698783,0.35,0.6,0.0,0.85,0.95,-0.25
BALANCE,bullish,premium,426,85.3128196423253,3.1842819905803124,2.712327570662119,0.5,0.4835680751173709,0.01643192488262911,0.704225352112676,0.8309859154929577,0.016431924882629123
IMBALANCE,bearish,discount,270,103.1528790576958,3.8432949452843372,2.675382556821783,0.4666666666666667,0.5074074074074074,0.025925925925925925,0.7,0.8037037037037037,-0.040740740740740744
IMBALANCE,bearish,premium,4,25.611963336220825,1.5315076693260496,1.6748311575826806,0.75,0.0,0.0,1.0,1.0,0.75
IMBALANCE,bullish,premium,284,110.39154485841061,3.836548065669775,2.7733127443851746,0.4823943661971831,0.4753521126760563,0.04225352112676056,0.6901408450704225,0.7746478873239436,0.007042253521126807
