range_zone,event_side,n,mean_gap_bps,mean_mfe_r,mean_mae_r,plus1r_fast,minus1r_fast,both_fast,full_fill_fast,full_fill_slow,edge_score_fast
edge,bearish,412,81.13328340966926,3.3232666637398407,2.562385109347379,0.5048543689320388,0.4830097087378641,0.012135922330097087,0.5970873786407767,0.7451456310679612,0.021844660194174748
edge,bullish,409,89.20316717582314,2.997584053959626,2.5612204633749713,0.5012224938875306,0.4718826405867971,0.019559902200488997,0.6234718826405868,0.7579462102689487,0.02933985330073352
middle,bearish,432,62.96253032316548,2.774437768095607,2.8344825313392836,0.5092592592592593,0.4861111111111111,0.0023148148148148147,0.7407407407407407,0.8495370370370371,0.023148148148148195
middle,bullish,299,56.631448564172906,2.6355642765399945,2.431414404660799,0.5250836120401338,0.46488294314381273,0.006688963210702341,0.7357859531772575,0.8394648829431438,0.06020066889632103
