regime,start,end,bars,hours,days
IMBALANCE__NORMAL_VOL,2022-05-11 08:00:00+00:00,2022-05-11 12:00:00+00:00,1,4.0,0.16666666666666666
IMBALANCE__HIGH_VOL,2022-05-11 12:00:00+00:00,2022-05-11 20:00:00+00:00,2,8.0,0.3333333333333333
IMBALANCE__NORMAL_VOL,2022-05-11 20:00:00+00:00,2022-05-12 00:00:00+00:00,1,4.0,0.16666666666666666
IMBALANCE__HIGH_VOL,2022-05-12 00:00:00+00:00,2022-05-12 04:00:00+00:00,1,4.0,0.16666666666666666
IMBALANCE__NORMAL_VOL,2022-05-12 04:00:00+00:00,2022-05-13 00:00:00+00:00,5,20.0,0.8333333333333334
BALANCE__NORMAL_VOL,2022-05-13 00:00:00+00:00,2022-05-13 12:00:00+00:00,3,12.0,0.5
IMBALANCE__NORMAL_VOL,2022-05-13 12:00:00+00:00,2022-05-14 16:00:00+00:00,7,28.0,1.1666666666666667
BALANCE__NORMAL_VOL,2022-05-14 16:00:00+00:00,2022-05-18 12:00:00+00:00,23,92.0,3.8333333333333335
BALANCE__HIGH_VOL,2022-05-18 12:00:00+00:00,2022-05-18 16:00:00+00:00,1,4.0,0.16666666666666666
BALANCE__NORMAL_VOL,2022-05-18 16:00:00+00:00,2022-05-19 04:00:00+00:00,3,12.0,0.5
IMBALANCE__NORMAL_VOL,2022-05-19 04:00:00+00:00,2022-05-19 08:00:00+00:00,1,4.0,0.16666666666666666
BALANCE__NORMAL_VOL,2022-05-19 08:00:00+00:00,2022-05-20 12:00:00+00:00,7,28.0,1.1666666666666667
BALANCE__HIGH_VOL,2022-05-20 12:00:00+00:00,2022-05-20 16:00:00+00:00,1,4.0,0.16666666666666666
BALANCE__NORMAL_VOL,2022-05-20 16:00:00+00:00,2022-05-26 08:00:00+00:00,34,136.0,5.666666666666667
IMBALANCE__NORMAL_VOL,2022-05-26 08:00:00+00:00,2022-05-26 12:00:00+00:00,1,4.0,0.16666666666666666
BALANCE__HIGH_VOL,2022-05-26 12:00:00+00:00,2022-05-26 16:00:00+00:00,1,4.0,0.16666666666666666
IMBALANCE__NORMAL_VOL,2022-05-26 16:00:00+00:00,2022-05-27 00:00:00+00:00,2,8.0,0.3333333333333333
BALANCE__NORMAL_VOL,2022-05-27 00:00:00+00:00,2022-05-27 12:00:00+00:00,3,12.0,0.5
IMBALANCE__NORMAL_VOL,2022-05-27 12:00:00+00:00,2022-05-28 00:00:00+00:00,3,12.0,0.5
BALANCE__NORMAL_VOL,2022-05-28 00:00:00+00:00,2022-05-28 04:00:00+00:00,1,4.0,0.16666666666666666
IMBALANCE__NORMAL_VOL,2022-05-28 04:00:00+00:00,2022-05-28 12:00:00+00:00,2,8.0,0.3333333333333333
BALANCE__NORMAL_VOL,2022-05-28 12:00:00+00:00,2022-05-29 00:00:00+00:00,3,12.0,0.5
IMBALANCE__NORMAL_VOL,2022-05-29 00:00:00+00:00,2022-05-29 12:00:00+00:00,3,12.0,0.5
BALANCE__NORMAL_VOL,2022-05-29 12:00:00+00:00,2022-06-12 00:00:00+00:00,81,324.0,13.5
IMBALANCE__HIGH_VOL,2022-06-12 00:00:00+00:00,2022-06-12 04:00:00+00:00,1,4.0,0.16666666666666666
IMBALANCE__NORMAL_VOL,2022-06-12 04:00:00+00:00,2022-06-12 12:00:00+00:00,2,8.0,0.3333333333333333
IMBALANCE__HIGH_VOL,2022-06-12 12:00:00+00:00,2022-06-12 16:00:00+00:00,1,4.0,0.16666666666666666
IMBALANCE__NORMAL_VOL,2022-06-12 16:00:00+00:00,2022-06-13 00:00:00+00:00,2,8.0,0.3333333333333333
IMBALANCE__HIGH_VOL,2022-06-13 00:00:00+00:00,2022-06-13 12:00:00+00:00,3,12.0,0.5
IMBALANCE__NORMAL_VOL,2022-06-13 12:00:00+00:00,2022-06-13 20:00:00+00:00,2,8.0,0.3333333333333333
IMBALANCE__HIGH_VOL,2022-06-13 20:00:00+00:00,2022-06-14 00:00:00+00:00,1,4.0,0.16666666666666666
IMBALANCE__NORMAL_VOL,2022-06-14 00:00:00+00:00,2022-06-15 08:00:00+00:00,8,32.0,1.3333333333333333
BALANCE__NORMAL_VOL,2022-06-15 08:00:00+00:00,2022-06-15 12:00:00+00:00,1,4.0,0.16666666666666666
IMBALANCE__NORMAL_VOL,2022-06-15 12:00:00+00:00,2022-06-15 16:00:00+00:00,1,4.0,0.16666666666666666
BALANCE__HIGH_VOL,2022-06-15 16:00:00+00:00,2022-06-15 20:00:00+00:00,1,4.0,0.16666666666666666
BALANCE__NORMAL_VOL,2022-06-15 20:00:00+00:00,2022-06-18 16:00:00+00:00,17,68.0,2.8333333333333335
BALANCE__HIGH_VOL,2022-06-18 16:00:00+00:00,2022-06-18 20:00:00+00:00,1,4.0,0.16666666666666666
BALANCE__NORMAL_VOL,2022-06-18 20:00:00+00:00,2022-06-19 04:00:00+00:00,2,8.0,0.3333333333333333
IMBALANCE__NORMAL_VOL,2022-06-19 04:00:00+00:00,2022-06-19 08:00:00+00:00,1,4.0,0.16666666666666666
BALANCE__NORMAL_VOL,2022-06-19 08:00:00+00:00,2022-06-24 00:00:00+00:00,28,112.0,4.666666666666667
BALANCE__HIGH_VOL,2022-06-24 00:00:00+00:00,2022-06-24 04:00:00+00:00,1,4.0,0.16666666666666666
BALANCE__NORMAL_VOL,2022-06-24 04:00:00+00:00,2022-06-25 04:00:00+00:00,6,24.0,1.0
IMBALANCE__NORMAL_VOL,2022-06-25 04:00:00+00:00,2022-06-25 12:00:00+00:00,2,8.0,0.3333333333333333
IMBALANCE__HIGH_VOL,2022-06-25 12:00:00+00:00,2022-06-25 16:00:00+00:00,1,4.0,0.16666666666666666
IMBALANCE__NORMAL_VOL,2022-06-25 16:00:00+00:00,2022-06-27 04:00:00+00:00,9,36.0,1.5
BALANCE__NORMAL_VOL,2022-06-27 04:00:00+00:00,2022-06-27 12:00:00+00:00,2,8.0,0.3333333333333333
BALANCE__HIGH_VOL,2022-06-27 12:00:00+00:00,2022-06-27 16:00:00+00:00,1,4.0,0.16666666666666666
BALANCE__NORMAL_VOL,2022-06-27 16:00:00+00:00,2022-06-28 00:00:00+00:00,2,8.0,0.3333333333333333
BALANCE__HIGH_VOL,2022-06-28 00:00:00+00:00,2022-06-28 04:00:00+00:00,1,4.0,0.16666666666666666
BALANCE__NORMAL_VOL,2022-06-28 04:00:00+00:00,2022-06-28 20:00:00+00:00,4,16.0,0.6666666666666666
BALANCE__HIGH_VOL,2022-06-28 20:00:00+00:00,2022-06-29 00:00:00+00:00,1,4.0,0.16666666666666666
BALANCE__NORMAL_VOL,2022-06-29 00:00:00+00:00,2022-06-29 04:00:00+00:00,1,4.0,0.16666666666666666
BALANCE__HIGH_VOL,2022-06-29 04:00:00+00:00,2022-06-29 08:00:00+00:00,1,4.0,0.16666666666666666
BALANCE__NORMAL_VOL,2022-06-29 08:00:00+00:00,2022-06-30 04:00:00+00:00,5,20.0,0.8333333333333334
BALANCE__HIGH_VOL,2022-06-30 04:00:00+00:00,2022-06-30 12:00:00+00:00,2,8.0,0.3333333333333333
