ts,event_side,gap_low,gap_high,gap_bps,atr,structure_regime,vol_regime,regime_bias,premium_discount_zone,eq50,leg_high,leg_low,aligned_to_bias,mfe_r_fast,mae_r_fast,hit_outcome_fast,full_fill_fast,full_fill_slow
2022-03-04 19:00:00+00:00,bearish,0.7302,0.735,67.24572709442458,0.00998066492331658,IMBALANCE,HIGH_VOL,bearish,discount,0.75615,0.7896,0.7227,True,2.1942425848640403,5.520674266027787,plus,1,1
2022-03-04 20:00:00+00:00,bearish,0.7199,0.7295,134.04077073443247,0.010160617428793964,BALANCE,NORMAL_VOL,bearish,discount,0.7505999999999999,0.7896,0.7116,True,2.3915869454091165,5.186692675846119,plus,1,1
2022-03-05 03:00:00+00:00,bullish,0.715,0.7166,22.23148534111499,0.010239599661360019,BALANCE,NORMAL_VOL,bearish,discount,0.74075,0.7896,0.6919,False,4.804875349342056,0.4004062791118371,plus,0,1
2022-03-05 09:00:00+00:00,bullish,0.7255,0.7286,42.28041462084004,0.008820410408005155,BALANCE,NORMAL_VOL,bearish,premium,0.73315,0.7744,0.6919,False,4.047430714516385,0.7936138655914473,plus,0,1
2022-03-05 13:00:00+00:00,bullish,0.7375,0.7389,18.464785017145303,0.009995880405639193,BALANCE,NORMAL_VOL,neutral,premium,0.73315,0.7744,0.6919,False,1.0704409782617668,3.1512982070322884,plus,1,1
2022-03-05 14:00:00+00:00,bullish,0.7482,0.7515,43.570108265117106,0.010524746090950684,BALANCE,NORMAL_VOL,neutral,premium,0.73315,0.7744,0.6919,False,0.8741303515065573,2.9169349773099245,minus,1,1
2022-03-06 10:00:00+00:00,bearish,0.736,0.741,68.30601092896181,0.009083448199867514,BALANCE,NORMAL_VOL,neutral,premium,0.7303999999999999,0.7689,0.6919,False,2.7962949136838198,2.3999696503270647,minus,1,1
2022-03-07 00:00:00+00:00,bearish,0.726,0.7394,187.04634282523685,0.010323301745289209,BALANCE,HIGH_VOL,bearish,discount,0.7364999999999999,0.7689,0.7041,True,1.3949025568850755,3.6228719185764944,minus,1,1
2022-03-07 06:00:00+00:00,bullish,0.723,0.727,53.56903709655823,0.011135027546701107,BALANCE,HIGH_VOL,neutral,premium,0.73775,0.7689,0.7066,False,0.5657821656549405,4.014359175361269,minus,1,1
2022-03-07 07:00:00+00:00,bullish,0.7312,0.7334,29.81433798617822,0.011396811293365307,BALANCE,NORMAL_VOL,neutral,premium,0.73775,0.7689,0.7066,False,1.3249320017074002,3.150003898099054,plus,1,1
2022-03-07 19:00:00+00:00,bearish,0.7297,0.7342,63.26444538169476,0.011513398690702717,BALANCE,HIGH_VOL,bearish,discount,0.733,0.7594,0.7066,True,0.8077545345068271,1.7197354605629003,minus,0,1
2022-03-07 20:00:00+00:00,bearish,0.7171,0.7213,58.68380606399458,0.011769584498509665,BALANCE,NORMAL_VOL,bearish,discount,0.733,0.7594,0.7066,True,0.24639782316590947,1.3084574057775793,minus,1,1
2022-03-09 04:00:00+00:00,bullish,0.7309,0.7412,137.70053475935796,0.008628526041420817,BALANCE,NORMAL_VOL,neutral,premium,0.7279,0.7538,0.702,False,3.6390919896707525,1.2053043532667427,plus,0,1
2022-03-09 16:00:00+00:00,bullish,0.7584,0.7598,18.37511484446867,0.009261226575066787,IMBALANCE,NORMAL_VOL,bullish,premium,0.7354,0.7688,0.702,True,1.8895985168005416,4.437857088028713,plus,1,1
2022-03-10 02:00:00+00:00,bearish,0.7615,0.7632,22.504633306857755,0.00995940198272422,BALANCE,NORMAL_VOL,bullish,premium,0.74615,0.7794,0.7129,False,3.474104174127907,0.5020381754520107,plus,0,1
2022-03-10 05:00:00+00:00,bearish,0.7398,0.7534,185.66552901023817,0.010719462884856092,BALANCE,HIGH_VOL,neutral,discount,0.74615,0.7794,0.7129,False,1.0914725976176665,1.4459679712028821,both,0,1
2022-03-10 14:00:00+00:00,bearish,0.7306,0.731,5.481704810195367,0.009793335811162597,BALANCE,NORMAL_VOL,bearish,discount,0.7462,0.7794,0.713,True,0.367596911758781,2.1749483945727577,minus,1,1
2022-03-11 06:00:00+00:00,bullish,0.7388,0.742,42.895442359249074,0.008322753722695862,BALANCE,NORMAL_VOL,neutral,discount,0.7501,0.7794,0.7208,False,12.315635355217358,2.595294865099456,minus,1,1
2022-03-11 09:00:00+00:00,bearish,0.7417,0.7441,32.50270855904602,0.008109544434680325,BALANCE,NORMAL_VOL,bearish,discount,0.7501,0.7794,0.7208,True,1.7263608471185072,13.576594947696368,minus,1,1
2022-03-11 20:00:00+00:00,bullish,0.7299,0.7361,81.05634723493245,0.010085257658070163,BALANCE,NORMAL_VOL,neutral,premium,0.7501,0.7794,0.7208,False,8.289327138122623,0.029746389251643936,plus,0,0
2022-03-11 21:00:00+00:00,bullish,0.7364,0.7646,349.05310063126495,0.012879167825350868,BALANCE,HIGH_VOL,bullish,premium,0.7501,0.7794,0.7208,True,3.152377587632997,2.3448719986826685,minus,0,0
2022-03-11 22:00:00+00:00,bullish,0.773,0.7859,160.54760423148753,0.013866370123540087,BALANCE,HIGH_VOL,bullish,premium,0.7673,0.8138,0.7208,True,3.2452617086577185,1.86061671296376,plus,0,1
2022-03-12 01:00:00+00:00,bullish,0.8088,0.8174,102.5029797377837,0.01591385392179941,IMBALANCE,HIGH_VOL,bullish,premium,0.7724500000000001,0.8241,0.7208,True,0.5969641324271928,3.851989612398598,minus,1,1
2022-03-12 04:00:00+00:00,bearish,0.8172,0.823,71.49901380670508,0.016234998930828477,IMBALANCE,NORMAL_VOL,bullish,premium,0.7846500000000001,0.8485,0.7208,False,2.063443314208495,0.43116725968535646,plus,0,0
2022-03-12 07:00:00+00:00,bearish,0.8015,0.8063,60.27878940097986,0.015824924435506624,IMBALANCE,NORMAL_VOL,bullish,premium,0.7846500000000001,0.8485,0.7208,False,1.1753610625948365,0.6824677137647436,plus,1,1
2022-03-13 23:00:00+00:00,bearish,0.7634,0.7843,275.0723874703873,0.010371997290439505,BALANCE,NORMAL_VOL,neutral,discount,0.7987,0.8485,0.7489,False,1.4944084119928718,1.7161593376434123,plus,0,1
2022-03-16 04:00:00+00:00,bearish,0.7623,0.7668,59.17937927406707,0.008820186632048544,BALANCE,NORMAL_VOL,bearish,discount,0.7648,0.7891,0.7405,True,0.4421675144411559,4.319636487232817,minus,1,1
2022-03-16 20:00:00+00:00,bullish,0.7709,0.7843,170.15873015872975,0.009380765925597234,BALANCE,NORMAL_VOL,bullish,premium,0.7648,0.7891,0.7405,True,1.172612139269394,0.7675279457036011,plus,0,0
2022-03-17 13:00:00+00:00,bullish,0.7889,0.7919,37.660055234747716,0.007597493544658123,IMBALANCE,NORMAL_VOL,bullish,premium,0.7746999999999999,0.7985,0.7509,True,0.7634096647674111,2.737745004683107,minus,1,1
2022-03-19 06:00:00+00:00,bullish,0.7985,0.8082,119.06223149625681,0.007448160077779552,BALANCE,NORMAL_VOL,bullish,premium,0.79915,0.8225,0.7758,True,1.6514145603147212,1.0606646362997034,minus,0,1
2022-03-21 03:00:00+00:00,bearish,0.7994,0.8028,42.579837194739625,0.0074785630344042595,BALANCE,NORMAL_VOL,bearish,discount,0.8065,0.827,0.786,True,0.20057329103189614,8.464192881546326,minus,1,1
2022-03-21 06:00:00+00:00,bullish,0.8022,0.803,9.907120743034339,0.007229957356627605,BALANCE,NORMAL_VOL,neutral,premium,0.8065,0.827,0.786,False,7.980683308886623,0.331952165360963,plus,0,0
2022-03-21 18:00:00+00:00,bullish,0.8161,0.8196,42.23482563050498,0.008502414901332014,BALANCE,NORMAL_VOL,bullish,premium,0.8089,0.8318,0.786,True,4.2928980088094475,0.31755683900782655,plus,0,1
2022-03-21 20:00:00+00:00,bullish,0.8348,0.8375,32.20035778175355,0.009999021011862811,BALANCE,NORMAL_VOL,bullish,premium,0.8168500000000001,0.8477,0.786,True,2.670261415424884,1.1701145528266412,plus,1,1
2022-03-22 07:00:00+00:00,bearish,0.8488,0.8498,11.80637544273909,0.009705446812304426,IMBALANCE,NORMAL_VOL,bullish,premium,0.8256,0.8652,0.786,False,2.751032540423597,1.081866729380075,minus,1,1
2022-03-22 16:00:00+00:00,bearish,0.8394,0.8437,51.251489868891184,0.008707934967258975,BALANCE,NORMAL_VOL,bullish,premium,0.8256,0.8652,0.786,False,2.675720487992368,0.8038645242895537,plus,1,1
2022-03-22 22:00:00+00:00,bullish,0.8354,0.8363,10.72449952335572,0.00840405341994253,BALANCE,NORMAL_VOL,bullish,premium,0.8256,0.8652,0.786,True,0.8091333622254068,2.7962697076907284,minus,1,1
2022-03-23 15:00:00+00:00,bullish,0.8284,0.8313,34.56907855525109,0.007748528891258602,BALANCE,NORMAL_VOL,bullish,premium,0.8373999999999999,0.8652,0.8096,True,1.226039178961746,1.7938889039545456,minus,1,1
2022-03-23 18:00:00+00:00,bearish,0.8331,0.8342,13.299480111233237,0.008276063401638174,BALANCE,NORMAL_VOL,neutral,discount,0.8404499999999999,0.8652,0.8157,False,0.14499647256960954,2.791182096965034,minus,1,1
2022-03-25 16:00:00+00:00,bearish,0.835,0.8376,31.515151515152084,0.006878544697105897,BALANCE,NORMAL_VOL,neutral,discount,0.8375999999999999,0.8502,0.825,False,1.0176571219992523,1.4247199707989566,plus,0,1
2022-03-25 17:00:00+00:00,bearish,0.8284,0.8294,12.12268153715603,0.007130077218741196,BALANCE,NORMAL_VOL,bearish,discount,0.8353999999999999,0.8502,0.8206,True,0.6311292096769769,1.388484261289368,minus,1,1
2022-03-27 01:00:00+00:00,bullish,0.8336,0.8354,21.513087128003153,0.00487045789104972,BALANCE,NORMAL_VOL,neutral,premium,0.8321,0.8462,0.818,False,7.001395097299674,1.8478755388767474,minus,1,1
2022-03-27 13:00:00+00:00,bearish,0.834,0.8357,20.398368130549972,0.0048001639910373855,BALANCE,NORMAL_VOL,neutral,premium,0.831,0.844,0.818,False,0.3749871886379068,14.770328708015127,minus,1,1
2022-03-27 21:00:00+00:00,bullish,0.8418,0.8447,34.025577848175686,0.006023214203607138,BALANCE,NORMAL_VOL,bullish,premium,0.835,0.8496,0.8204,True,9.978061209247349,0.514675370194121,plus,0,0
2022-03-28 14:00:00+00:00,bullish,0.8741,0.878,44.04788796024412,0.009433446609840686,IMBALANCE,NORMAL_VOL,bullish,premium,0.86505,0.9043,0.8258,True,2.8621564436305222,3.7526051149822353,minus,1,1
