regime,hour_utc,start_share_4h,end_share_4h,start_share_1h,end_share_1h,start_share_blend,end_share_blend
BALANCE,0,0.17826825127334464,0.16129032258064516,0.05254447662391394,0.025651634257343816,0.12797874141357235,0.10703484725132462
BALANCE,1,0.0,0.0,0.025651634257343816,0.04095986760446835,0.010260653702937527,0.01638394704178734
BALANCE,2,0.0,0.0,0.032271410839884156,0.0430285477865122,0.012908564335953663,0.017211419114604883
BALANCE,3,0.0,0.0,0.036822507240380636,0.04054613156805958,0.014729002896152255,0.016218452627223833
BALANCE,4,0.1460101867572156,0.1833616298811545,0.0430285477865122,0.045510964004964835,0.10481753116893425,0.12822136353067864
BALANCE,5,0.0,0.0,0.046752172114191144,0.03889118742242449,0.01870086884567646,0.015556474968969797
BALANCE,6,0.0,0.0,0.036822507240380636,0.04137360364087712,0.014729002896152255,0.016549441456350848
BALANCE,7,0.0,0.0,0.041787339677285894,0.045924700041373605,0.016714935870914358,0.018369880016549444
BALANCE,8,0.16468590831918506,0.15789473684210525,0.04509722796855606,0.030202730657840297,0.11685043617893345,0.10681793436839926
BALANCE,9,0.0,0.0,0.03640877120397187,0.03516756309474555,0.014563508481588747,0.01406702523789822
BALANCE,10,0.0,0.0,0.033098882912701695,0.04757964418700869,0.01323955316508068,0.019031857674803476
BALANCE,11,0.0,0.0,0.04840711625982623,0.045510964004964835,0.019362846503930494,0.018204385601985933
BALANCE,12,0.19015280135823429,0.15789473684210525,0.05337194869673149,0.04344228382292098,0.13544046029363316,0.11211375563443154
BALANCE,13,0.0,0.0,0.04468349193214729,0.04137360364087712,0.017873396772858915,0.016549441456350848
BALANCE,14,0.0,0.0,0.046338436077782375,0.04426975589573852,0.01853537443111295,0.01770790235829541
BALANCE,15,0.0,0.0,0.046752172114191144,0.047165908150599914,0.01870086884567646,0.018866363260239966
BALANCE,16,0.14261460101867574,0.15619694397283532,0.0430285477865122,0.03889118742242449,0.10278017972581033,0.10927464135267098
BALANCE,17,0.0,0.0,0.03764997931319818,0.03847745138601572,0.015059991725279274,0.01539098055440629
BALANCE,18,0.0,0.0,0.04137360364087712,0.04344228382292098,0.016549441456350848,0.017376913529168394
BALANCE,19,0.0,0.0,0.030202730657840297,0.046752172114191144,0.012081092263136119,0.01870086884567646
BALANCE,20,0.17826825127334464,0.1833616298811545,0.04261481175010343,0.04426975589573852,0.12400687546404816,0.1277248802869881
BALANCE,21,0.0,0.0,0.04757964418700869,0.045924700041373605,0.019031857674803476,0.018369880016549444
BALANCE,22,0.0,0.0,0.045510964004964835,0.04757964418700869,0.018204385601985933,0.019031857674803476
BALANCE,23,0.0,0.0,0.042201075713694663,0.03806371534960695,0.016880430285477865,0.015225486139842781
IMBALANCE,0,0.1834862385321101,0.1559633027522936,0.04213036565977742,0.0492845786963434,0.12694388938317702,0.11329181312991352
IMBALANCE,1,0.0,0.0,0.0492845786963434,0.033386327503974564,0.019713831478537364,0.013354531001589827
IMBALANCE,2,0.0,0.0,0.04451510333863275,0.034976152623211444,0.0178060413354531,0.013990461049284579
IMBALANCE,3,0.0,0.0,0.04372019077901431,0.03815580286168521,0.017488076311605726,0.015262321144674086
IMBALANCE,4,0.15902140672782875,0.15902140672782875,0.04213036565977742,0.04292527821939587,0.11226499030060821,0.11258295532445559
IMBALANCE,5,0.0,0.0,0.03179650238473768,0.04372019077901431,0.01271860095389507,0.017488076311605726
IMBALANCE,6,0.0,0.0,0.02782193958664547,0.03815580286168521,0.011128775834658189,0.015262321144674086
IMBALANCE,7,0.0,0.0,0.05802861685214626,0.037360890302066775,0.023211446740858507,0.01494435612082671
IMBALANCE,8,0.1559633027522936,0.13761467889908258,0.04133545310015898,0.0492845786963434,0.11011216289143974,0.10228263881798691
IMBALANCE,9,0.0,0.0,0.04531001589825119,0.046104928457869634,0.018124006359300476,0.018441971383147855
IMBALANCE,10,0.0,0.0,0.04531001589825119,0.033386327503974564,0.018124006359300476,0.013354531001589827
IMBALANCE,11,0.0,0.0,0.03418124006359301,0.05087440381558029,0.013672496025437204,0.020349761526232118
IMBALANCE,12,0.15902140672782875,0.20489296636085627,0.037360890302066775,0.04451510333863275,0.11035720015752395,0.14074182115196684
IMBALANCE,13,0.0,0.0,0.04133545310015898,0.0397456279809221,0.016534181240063592,0.015898251192368842
IMBALANCE,14,0.0,0.0,0.03577106518282989,0.057233704292527825,0.014308426073131956,0.02289348171701113
IMBALANCE,15,0.0,0.0,0.05087440381558029,0.0492845786963434,0.020349761526232118,0.019713831478537364
IMBALANCE,16,0.1620795107033639,0.1529051987767584,0.04689984101748808,0.033386327503974564,0.11600764282901357,0.10509765026764487
IMBALANCE,17,0.0,0.0,0.038950715421303655,0.04372019077901431,0.015580286168521463,0.017488076311605726
IMBALANCE,18,0.0,0.0,0.0397456279809221,0.04451510333863275,0.015898251192368842,0.0178060413354531
IMBALANCE,19,0.0,0.0,0.04531001589825119,0.029411764705882353,0.018124006359300476,0.011764705882352941
IMBALANCE,20,0.18042813455657492,0.18960244648318042,0.037360890302066775,0.03656597774244833,0.12320123685477166,0.1283878589868876
IMBALANCE,21,0.0,0.0,0.04689984101748808,0.04451510333863275,0.018759936406995234,0.0178060413354531
IMBALANCE,22,0.0,0.0,0.038950715421303655,0.037360890302066775,0.015580286168521463,0.01494435612082671
IMBALANCE,23,0.0,0.0,0.034976152623211444,0.04213036565977742,0.013990461049284579,0.01685214626391097
HIGH_VOL,0,0.16342412451361868,0.14785992217898833,0.04668838219326819,0.0249728555917481,0.11672982758547848,0.09870509554409224
HIGH_VOL,1,0.0,0.0,0.04017372421281216,0.04343105320304017,0.016069489685124862,0.01737242128121607
HIGH_VOL,2,0.0,0.0,0.029315960912052116,0.03474484256243214,0.011726384364820847,0.013897937024972856
HIGH_VOL,3,0.0,0.0,0.016286644951140065,0.04017372421281216,0.006514657980456026,0.016069489685124862
HIGH_VOL,4,0.12062256809338522,0.16342412451361868,0.026058631921824105,0.023887079261672096,0.08279699362476076,0.10760930641284004
HIGH_VOL,5,0.0,0.0,0.029315960912052116,0.021715526601520086,0.011726384364820847,0.008686210640608035
HIGH_VOL,6,0.0,0.0,0.04668838219326819,0.02823018458197611,0.018675352877307275,0.011292073832790446
HIGH_VOL,7,0.0,0.0,0.031487513572204126,0.04560260586319218,0.012595005428881652,0.018241042345276872
HIGH_VOL,8,0.1245136186770428,0.13229571984435798,0.04125950054288816,0.0249728555917481,0.09121197142338094,0.08936657414331402
HIGH_VOL,9,0.0,0.0,0.021715526601520086,0.04234527687296417,0.008686210640608035,0.016938110749185668
HIGH_VOL,10,0.0,0.0,0.026058631921824105,0.0249728555917481,0.010423452768729642,0.009989142236699241
HIGH_VOL,11,0.0,0.0,0.031487513572204126,0.03040173724212812,0.012595005428881652,0.01216069489685125
HIGH_VOL,12,0.22178988326848248,0.11673151750972763,0.04451682953311618,0.02714440825190011,0.15088066177433596,0.08089667380659663
HIGH_VOL,13,0.0,0.0,0.06297502714440825,0.03691639522258415,0.025190010857763304,0.014766558089033661
HIGH_VOL,14,0.0,0.0,0.08034744842562432,0.05754614549402823,0.032138979370249725,0.023018458197611294
HIGH_VOL,15,0.0,0.0,0.06948968512486428,0.0727470141150923,0.027795874049945712,0.02909880564603692
HIGH_VOL,16,0.22957198443579765,0.19844357976653695,0.05428881650380022,0.07709011943539631,0.15945871726299868,0.1499021956340807
HIGH_VOL,17,0.0,0.0,0.04668838219326819,0.051031487513572206,0.018675352877307275,0.020412595005428885
