event_type,event_side,structure_regime,count
FVG,bearish,BALANCE,2042
FVG,bearish,IMBALANCE,441
FVG,bullish,BALANCE,2077
FVG,bullish,IMBALANCE,502
ORDER_BLOCK_PROXY,bearish,BALANCE,723
ORDER_BLOCK_PROXY,bearish,IMBALANCE,187
ORDER_BLOCK_PROXY,bullish,BALANCE,693
ORDER_BLOCK_PROXY,bullish,IMBALANCE,184
