range_zone,event_side,n,mean_gap_bps,mean_mfe_r,mean_mae_r,plus1r_fast,minus1r_fast,both_fast,full_fill_fast,full_fill_slow,edge_score_fast
edge,bearish,422,102.61584603061542,3.1396590305841503,2.1507869711276424,0.556872037914692,0.43364928909952605,0.004739336492890996,0.542654028436019,0.6824644549763034,0.12322274881516593
edge,bullish,425,106.11620199628885,3.1353658001236746,2.8420204700585416,0.48,0.5011764705882353,0.018823529411764704,0.6611764705882353,0.7976470588235294,-0.021176470588235352
middle,bearish,407,73.59029993694404,2.6292737871777243,2.689650485917514,0.4963144963144963,0.4914004914004914,0.004914004914004914,0.7444717444717445,0.8525798525798526,0.004914004914004899
middle,bullish,336,71.99296482019852,2.600094834392377,2.4295821282347525,0.5416666666666666,0.44345238095238093,0.008928571428571428,0.7410714285714286,0.8392857142857143,0.0982142857142857
