range_zone,event_side,n,mean_gap_bps,mean_mfe_r,mean_mae_r,plus1r_fast,minus1r_fast,both_fast,full_fill_fast,full_fill_slow,edge_score_fast
edge,bearish,492,112.59502101158384,2.976652108160831,2.338356522811269,0.5426829268292683,0.44715447154471544,0.0040650406504065045,0.5752032520325203,0.7032520325203252,0.0955284552845529
edge,bullish,580,102.30444436215205,2.83395942875232,2.648305872148261,0.4862068965517241,0.506896551724138,0.005172413793103448,0.6413793103448275,0.7724137931034483,-0.020689655172413834
middle,bearish,365,79.30998201470882,2.6427360829758566,2.40915037819715,0.5041095890410959,0.4849315068493151,0.00821917808219178,0.7534246575342466,0.8438356164383561,0.019178082191780854
middle,bullish,371,63.30527139576756,2.6797301748168985,2.6420887546263216,0.5309973045822103,0.46900269541778977,0.0,0.7762803234501348,0.8652291105121294,0.06199460916442051
