ts,event_side,gap_low,gap_high,gap_bps,gap_size,atr,regime_bias,structure_regime,close,aligned,r_stop_anchor,reason_stop_anchor,r_tp_anchor,reason_tp_anchor
2022-03-10 08:00:00+00:00,bearish,0.7378,0.7519,192.38641015145313,0.014100000000000001,0.019167811088161322,bearish,BALANCE,0.7329,True,-1.0,sl,-1.0,sl
2022-03-12 00:00:00+00:00,bullish,0.7364,0.7956,726.4695054607918,0.05919999999999992,0.02430953713316312,bullish,BALANCE,0.8149,True,0.0,time,-1.0,sl
2022-03-21 20:00:00+00:00,bullish,0.8178,0.8325,175.60625970612884,0.014700000000000046,0.01575149767651732,bullish,IMBALANCE,0.8371,True,1.0,tp,0.9332445905709118,tp
2022-03-28 00:00:00+00:00,bullish,0.8487,0.8534,53.99195864445764,0.0047000000000000375,0.01212708058564334,bullish,IMBALANCE,0.8705,True,1.0,tp,0.38756236233509683,tp
2022-03-28 04:00:00+00:00,bullish,0.8581,0.8635,62.25501498731924,0.005400000000000071,0.012310860543811667,bullish,IMBALANCE,0.8674,True,1.0,tp,0.4386370863988457,tp
2022-04-04 04:00:00+00:00,bearish,0.839,0.8397,8.400336013440944,0.0007000000000000339,0.017373370362980613,bearish,BALANCE,0.8333,True,-1.0,both_sl_first,0.040291548811484695,tp
2022-04-06 12:00:00+00:00,bearish,0.7997,0.8066,88.52963818321808,0.006900000000000017,0.018894013485289914,bearish,BALANCE,0.7794,True,1.0,tp,0.3651950394431575,tp
2022-04-06 16:00:00+00:00,bearish,0.7809,0.7865,72.37947524880364,0.005599999999999938,0.01930158395062635,bearish,BALANCE,0.7737,True,1.0,tp,0.2901316293173041,tp
2022-04-08 12:00:00+00:00,bearish,0.7769,0.7778,11.668611435239361,0.0009000000000000119,0.017761488460901344,bearish,IMBALANCE,0.7713,True,1.0,tp,0.05067142891662478,tp
2022-04-11 00:00:00+00:00,bearish,0.7555,0.7585,40.639393118396136,0.0030000000000000027,0.013950264386667391,bearish,IMBALANCE,0.7382,True,1.0,tp,0.21504968772256272,tp
2022-04-11 04:00:00+00:00,bearish,0.7441,0.7519,104.97981157469756,0.007800000000000029,0.013596674073334007,bearish,IMBALANCE,0.743,True,1.0,tp,0.5736697046594297,tp
2022-04-11 12:00:00+00:00,bearish,0.7144,0.7351,294.1176470588227,0.02069999999999994,0.015302744481599224,bearish,IMBALANCE,0.7038,True,-1.0,sl,1.3526985322724756,tp
2022-04-18 20:00:00+00:00,bullish,0.7497,0.7562,84.49239568438776,0.00649999999999995,0.017758964213873747,bullish,BALANCE,0.7693,True,-1.0,sl,0.3660123373029813,tp
2022-04-22 00:00:00+00:00,bearish,0.7353,0.7434,110.73137388926857,0.008099999999999996,0.015642028012011092,bearish,BALANCE,0.7315,True,1.0,tp,0.5178356664353385,tp
2022-04-25 04:00:00+00:00,bearish,0.6795,0.6968,265.622600951942,0.017299999999999982,0.01474590571152649,bearish,IMBALANCE,0.6513,True,-1.0,sl,-1.0,sl
2022-04-25 08:00:00+00:00,bearish,0.6656,0.6685,43.62870467880267,0.0029000000000000137,0.01514262673213174,bearish,IMBALANCE,0.6647,True,-1.0,both_sl_first,0.1915123479763514,tp
2022-04-26 16:00:00+00:00,bearish,0.6591,0.6739,229.27962819519806,0.014800000000000035,0.017504605867219337,bearish,IMBALANCE,0.6455,True,1.0,tp,0.8454917586985377,tp
2022-04-29 12:00:00+00:00,bearish,0.6254,0.6343,143.5020960980332,0.008900000000000019,0.015214006160887906,bearish,IMBALANCE,0.6202,True,1.0,tp,0.5849872746127922,tp
2022-04-29 20:00:00+00:00,bearish,0.6148,0.6162,22.90575916230296,0.0013999999999999568,0.015352893067296204,bearish,IMBALANCE,0.6112,True,-1.0,sl,-1.0,sl
2022-05-01 00:00:00+00:00,bearish,0.5937,0.6023,145.5160744500836,0.008599999999999941,0.017516394380860528,bearish,IMBALANCE,0.591,True,-1.0,sl,-1.0,sl
2022-05-03 20:00:00+00:00,bearish,0.6061,0.6133,119.12640635340807,0.007199999999999984,0.015046186285939575,bearish,BALANCE,0.6044,True,-1.0,sl,-1.0,sl
2022-05-05 16:00:00+00:00,bearish,0.6052,0.6344,491.91374663072787,0.029200000000000004,0.017998969758803808,bearish,BALANCE,0.5936,True,1.0,tp,-1.0,sl
2022-05-09 08:00:00+00:00,bearish,0.5533,0.5574,76.46400596792229,0.0040999999999999925,0.015861259362361418,bearish,IMBALANCE,0.5362,True,1.0,tp,0.25849145432482207,tp
2022-05-09 12:00:00+00:00,bearish,0.5478,0.5507,55.11212466742709,0.0029000000000000137,0.016771169407907027,bearish,IMBALANCE,0.5262,True,1.0,tp,0.17291578955924003,tp
2022-05-09 20:00:00+00:00,bearish,0.5132,0.5192,123.25390304026305,0.006000000000000005,0.020723610356817794,bearish,IMBALANCE,0.4868,True,-1.0,sl,-1.0,both_sl_first
2022-05-11 16:00:00+00:00,bearish,0.4477,0.4895,1014.8094197620784,0.041800000000000004,0.03035670313931116,bearish,IMBALANCE,0.4119,True,0.0,time,1.3769611215082862,tp
2022-05-14 12:00:00+00:00,bearish,0.4121,0.4229,268.9912826899122,0.010799999999999976,0.02918974465224523,bearish,IMBALANCE,0.4015,True,-1.0,sl,-1.0,sl
2022-05-16 08:00:00+00:00,bearish,0.4233,0.43,160.0191067590156,0.006699999999999984,0.022091777366897877,bearish,BALANCE,0.4187,True,-1.0,sl,0.303280260738061,tp
2022-05-18 16:00:00+00:00,bearish,0.4174,0.4241,161.25150421179265,0.006699999999999984,0.016794820515655583,bearish,BALANCE,0.4155,True,1.0,tp,0.39893251575713307,tp
2022-05-20 16:00:00+00:00,bearish,0.4114,0.4244,316.4556962025319,0.013000000000000012,0.01479560357607434,bearish,BALANCE,0.4108,True,-1.0,sl,-1.0,sl
2022-05-23 20:00:00+00:00,bearish,0.4153,0.4211,143.2806324110665,0.005799999999999972,0.01039029517258218,bearish,BALANCE,0.4048,True,1.0,tp,0.5582132079659267,tp
2022-06-03 12:00:00+00:00,bearish,0.3951,0.4033,211.66752710376832,0.008199999999999985,0.009441880641689918,bearish,BALANCE,0.3874,True,-1.0,sl,-1.0,sl
2022-06-07 04:00:00+00:00,bearish,0.3928,0.3968,102.53781081773913,0.0040000000000000036,0.007459950448316849,bearish,BALANCE,0.3901,True,-1.0,sl,-1.0,sl
2022-06-10 16:00:00+00:00,bearish,0.3876,0.399,298.9771833202209,0.011400000000000021,0.008388028719152025,bearish,BALANCE,0.3813,True,1.0,tp,1.35907975302599,tp
2022-06-11 12:00:00+00:00,bearish,0.3776,0.3838,172.12659633536876,0.006199999999999983,0.009198999574619417,bearish,BALANCE,0.3602,True,1.0,tp,0.6739863340255136,tp
2022-06-11 16:00:00+00:00,bearish,0.3692,0.3732,109.25976509150516,0.0040000000000000036,0.009377642462146603,bearish,BALANCE,0.3661,True,1.0,tp,0.4265464391659448,tp
2022-06-12 04:00:00+00:00,bearish,0.3488,0.3551,180.93049971280954,0.006300000000000028,0.010360561402819268,bearish,IMBALANCE,0.3482,True,-1.0,both_sl_first,-1.0,both_sl_first
2022-06-13 00:00:00+00:00,bearish,0.3504,0.3522,54.38066465256869,0.0018000000000000238,0.012755559114016806,bearish,IMBALANCE,0.331,True,1.0,tp,0.14111494321107731,tp
2022-06-13 04:00:00+00:00,bearish,0.3377,0.3423,143.8398999374607,0.004599999999999993,0.013615876320158463,bearish,IMBALANCE,0.3198,True,1.0,tp,0.337840906588556,tp
