event_side,structure_regime,n,mean_r,median_r,win_rate,tp_rate,sl_rate,time_rate,strategy
bearish,BALANCE,611,0.006546644844517185,0.0,0.469721767594108,0.469721767594108,0.46317512274959083,0.06710310965630115,FVG_STOP_ANCHOR
bearish,IMBALANCE,246,0.016260162601626018,0.0,0.47560975609756095,0.47560975609756095,0.45934959349593496,0.06504065040650407,FVG_STOP_ANCHOR
bullish,BALANCE,553,0.027124773960216998,0.0,0.4810126582278481,0.4810126582278481,0.4538878842676311,0.0650994575045208,FVG_STOP_ANCHOR
bullish,IMBALANCE,267,-0.011235955056179865,0.0,0.45318352059925093,0.45318352059925093,0.46441947565543074,0.08239700374531835,FVG_STOP_ANCHOR
bearish,BALANCE,611,0.014301920241145866,0.20943576742048703,0.6268412438625205,0.6268412438625205,0.3649754500818331,0.008183306055646482,FVG_TP_ANCHOR
bearish,IMBALANCE,246,0.13116469479446358,0.22093660132179316,0.6707317073170732,0.6707317073170732,0.32926829268292684,0.0,FVG_TP_ANCHOR
bullish,BALANCE,553,0.03128529822747307,0.24070483499305018,0.6220614828209765,0.6220614828209765,0.37251356238698013,0.0054249547920434,FVG_TP_ANCHOR
bullish,IMBALANCE,267,0.024579084785530572,0.2227249218754565,0.6591760299625468,0.6591760299625468,0.33333333333333337,0.00749063670411985,FVG_TP_ANCHOR
