event_type,event_side,structure_regime,count
FVG,bearish,BALANCE,2366
FVG,bearish,IMBALANCE,483
FVG,bullish,BALANCE,2388
FVG,bullish,IMBALANCE,528
ORDER_BLOCK_PROXY,bearish,BALANCE,757
ORDER_BLOCK_PROXY,bearish,IMBALANCE,168
ORDER_BLOCK_PROXY,bullish,BALANCE,801
ORDER_BLOCK_PROXY,bullish,IMBALANCE,199
