stream,n_trades,win_pct,avg_r,median_r,total_r,best_r,worst_r,maxDD_r,mcl,baseline_total_r,saved_r,sl_hits,be_hits,tp_hits
S1,778,12.08,0.5565,-1.0117,432.97,11.99,-1.04,70.27,63,432.97,0.0,684,0,94
S2,1910,29.42,0.1585,-1.0129,302.73,3.0,-1.1,82.6,36,302.73,0.0,1348,0,562
S3,226,29.65,0.6295,-0.7371,142.27,4.24,-1.76,18.01,21,142.27,0.0,159,0,67
S4,274,29.56,1.0601,-1.0113,290.46,19.49,-1.05,21.67,17,377.46,-87.0,193,59,22
S5,631,21.08,0.2515,-1.0101,158.67,5.0,-1.05,66.1,35,158.67,0.0,498,0,133
