date,balance,daily_pnl
2022-01-04,10000.0,0.0
2022-01-04,9859.36,-140.64
2022-01-05,10216.63,357.27
2022-01-06,10162.87,-53.76
2022-01-07,10552.55,389.68
2022-01-10,10499.52,-53.03
2022-01-12,10353.61,-145.91
2022-01-13,10301.63,-51.98
2022-01-14,10725.62,423.99
2022-01-17,10548.43,-177.19
2022-01-18,10840.26,291.83
2022-01-19,9754.88,-1085.38
2022-01-20,10020.86,265.98
2022-01-21,16946.95,6926.09
2022-01-22,17552.82,605.87
2022-01-27,17309.12,-243.7
2022-01-28,16719.13,-589.99
2022-01-31,15757.3,-961.83
2022-02-01,15220.9,-536.4
2022-02-02,15176.38,-44.52
2022-02-04,13593.81,-1582.57
2022-02-06,13213.03,-380.78
2022-02-07,13154.07,-58.96
2022-02-08,13021.89,-132.18
2022-02-09,12586.59,-435.3
2022-02-10,11772.11,-814.48
2022-02-11,13786.22,2014.11
2022-02-13,14091.8,305.58
2022-02-15,13414.67,-677.13
2022-02-16,13346.93,-67.74
2022-02-17,14216.82,869.89
2022-02-18,14740.61,523.79
2022-02-19,14356.86,-383.75
2022-02-20,14283.7,-73.16
2022-02-21,15119.78,836.08
2022-02-22,14698.65,-421.13
2022-02-23,14336.62,-362.03
2022-02-24,14261.42,-75.2
2022-02-25,14182.03,-79.39
2022-02-28,13079.87,-1102.16
2022-03-03,12866.63,-213.24
2022-03-04,13405.4,538.77
2022-03-05,13334.73,-70.67
2022-03-07,12929.08,-405.65
2022-03-08,12670.0,-259.08
2022-03-10,12542.6,-127.4
2022-03-11,12367.36,-175.24
2022-03-12,12243.07,-124.29
2022-03-14,11413.79,-829.28
2022-03-15,10878.02,-535.77
2022-03-16,10191.38,-686.64
2022-03-19,10139.89,-51.49
2022-03-20,10088.22,-51.67
2022-03-21,9894.92,-193.3
2022-03-22,9501.91,-393.01
2022-03-23,9252.02,-249.89
2022-03-24,9120.66,-131.36
2022-03-25,9074.72,-45.94
2022-03-26,8198.45,-876.27
2022-03-27,7420.99,-777.46
2022-03-28,7165.7,-255.29
2022-03-29,7030.58,-135.12
2022-03-30,6833.48,-197.1
2022-03-31,7028.76,195.28
2022-04-01,7104.01,75.25
2022-04-03,6872.01,-232.0
2022-04-04,6484.85,-387.16
2022-04-05,6416.51,-68.34
2022-04-06,6302.5,-114.01
2022-04-11,6800.59,498.09
2022-04-12,6681.44,-119.15
2022-04-13,6493.82,-187.62
2022-04-14,6191.19,-302.63
2022-04-15,6037.86,-153.33
2022-04-17,6152.87,115.01
2022-04-18,6206.71,53.84
2022-04-20,5911.06,-295.65
2022-04-21,7268.67,1357.61
2022-04-22,8331.38,1062.71
2022-04-25,10331.75,2000.37
2022-04-26,10633.36,301.61
2022-04-28,10579.62,-53.74
2022-04-29,10997.55,417.93
2022-04-30,12461.16,1463.61
2022-05-01,12403.23,-57.93
2022-05-02,12340.67,-62.56
2022-05-03,11933.21,-407.46
2022-05-05,14053.49,2120.28
2022-05-06,13923.5,-129.99
2022-05-08,15617.12,1693.62
2022-05-09,17966.19,2349.07
2022-05-10,17781.23,-184.96
2022-05-11,17446.68,-334.55
2022-05-12,18859.14,1412.46
2022-05-13,18241.92,-617.22
2022-05-15,18005.59,-236.33
2022-05-19,17910.7,-94.89
2022-05-21,17302.99,-607.71
2022-05-22,15553.34,-1749.65
2022-05-23,14903.26,-650.08
2022-05-24,14744.5,-158.76
2022-05-25,14322.12,-422.38
2022-05-26,17524.28,3202.16
2022-05-27,19119.84,1595.56
2022-05-28,19018.89,-100.95
2022-05-29,18743.95,-274.94
2022-05-30,17553.84,-1190.11
2022-05-31,17217.95,-335.89
2022-06-01,17830.73,612.78
2022-06-04,18258.55,427.82
2022-06-05,17779.8,-478.75
2022-06-06,17347.76,-432.04
2022-06-07,17210.98,-136.78
2022-06-08,16732.05,-478.93
2022-06-09,16492.41,-239.64
2022-06-10,16918.65,426.24
2022-06-11,20002.69,3084.04
2022-06-12,21880.7,1878.01
