stream,sym,side,entry_ts_utc,exit_ts_utc,year,entry_price,stop_init,tp_price,risk,tp_r,managed_r,baseline_r,saved_r,managed_reason,bars_5m,duration_h,mfe_r,sim_active,m1_daily_cap,balance_before,risk_pct,dollar_risk,dollar_pnl,balance_after
S5,BNBUSDT,-1,2022-01-05T20:00:00+00:00,2022-01-07T04:15:00+00:00,2022,492.9,502.01599876,447.32000622,9.11599876,5.0,4.983779,4.983779,0.0,TP,388,32.25,5.1996,True,False,10000.0,0.5216,52.16,259.95,10207.28
S5,BNBUSDT,-1,2022-01-06T03:00:00+00:00,2022-01-06T18:45:00+00:00,2022,466.0,480.0796703,395.60164852,14.0796703,5.0,-1.009929,-1.009929,0.0,SL,190,15.75,0.5114,True,False,10000.0,0.5216,52.16,-52.68,9947.32
S4,BNBUSDT,1,2022-01-10T17:00:00+00:00,2022-01-10T17:25:00+00:00,2022,427.3,414.24432726,681.88561834,13.05567274,19.5,-1.009819,-1.009819,0.0,SL,6,0.42,0.0766,True,False,10207.28,1.6151,164.86,-166.48,10040.8
S5,BNBUSDT,-1,2022-01-17T13:00:00+00:00,2022-01-21T01:05:00+00:00,2022,475.8,483.96089607,434.99551967,8.16089607,5.0,4.982509,4.982509,0.0,TP,1010,84.08,5.1955,True,False,10040.8,0.5216,52.37,260.95,9996.5
S2,BNBUSDT,-1,2022-01-18T09:00:00+00:00,2022-01-18T22:25:00+00:00,2022,465.3,473.08063138,441.95810586,7.78063138,3.0,-1.017941,-1.017941,0.0,SL,162,13.42,1.041,True,False,10040.8,1.378,138.36,-140.84,9899.95
S4,BNBUSDT,1,2022-01-18T22:00:00+00:00,2022-01-19T07:05:00+00:00,2022,469.8,459.58683359,668.95674505,10.21316641,19.5,-1.0138,-1.0138,0.0,SL,110,9.08,0.94,True,False,10040.8,1.6151,162.17,-164.41,9735.55
S2,BNBUSDT,-1,2022-01-20T22:00:00+00:00,2022-01-21T03:25:00+00:00,2022,448.5,457.54135421,421.37593738,9.04135421,3.0,2.985118,2.985118,0.0,TP,66,5.42,3.0969,True,False,9735.55,1.378,134.16,400.47,10396.97
S5,BNBUSDT,-1,2022-01-21T02:00:00+00:00,2022-01-22T07:25:00+00:00,2022,424.2,439.18569407,349.27152965,14.98569407,5.0,4.991508,4.991508,0.0,TP,354,29.42,5.1249,True,False,9996.5,0.5216,52.14,260.27,10657.23
S1,BNBUSDT,1,2022-01-22T11:00:00+00:00,2022-01-24T12:40:00+00:00,2022,362.5,339.01870352,644.27555779,23.48129648,12.0,-1.004631,-1.004631,0.0,SL,597,49.67,1.1286,True,False,10657.23,0.4981,53.08,-53.33,10603.9
S5,BNBUSDT,-1,2022-01-31T01:00:00+00:00,2022-01-31T14:55:00+00:00,2022,368.8,376.84562953,328.57185236,8.04562953,5.0,-1.013752,-1.013752,0.0,SL,168,13.92,0.4474,True,False,10603.9,0.5216,55.31,-56.07,10547.83
