month,n_trades,total_r,avg_r,win_rate
2022-03,5,-3.1495684239841495,-0.6299136847968299,0.2
2022-04,1,-1.0556500000000002,-1.0556500000000002,0.0
2022-05,1,0.9903884615384615,0.9903884615384615,1.0
2022-06,2,-0.10705882352941365,-0.053529411764706825,0.5
2022-07,6,1.888809225659922,0.314801537609987,0.6666666666666666
2022-08,1,-1.0052466960352422,-1.0052466960352422,0.0
2022-09,9,2.8642914383395266,0.3182546042599474,0.6666666666666666
2022-10,5,0.7575504953379901,0.15151009906759802,0.6
2022-11,4,-0.10949462505236718,-0.027373656263091795,0.5
2022-12,1,0.9866682926829268,0.9866682926829268,1.0
2023-01,2,-0.0716550045634331,-0.03582750228171655,0.5
2023-02,3,2.9238388795649835,0.9746129598549945,1.0
2023-03,10,-2.1461500759308634,-0.21461500759308633,0.4
2023-04,4,-4.104860585515684,-1.026215146378921,0.0
2023-05,6,-1.018141660194528,-0.16969027669908798,0.5
2023-06,4,-0.06181493180732334,-0.015453732951830834,0.5
2023-07,4,-3.425478532867637,-0.8563696332169093,0.0
2023-09,2,-0.08350842857142848,-0.04175421428571424,0.5
2023-10,4,-0.07178534965034977,-0.017946337412587443,0.5
2023-11,4,1.3872822565820713,0.3468205641455178,0.75
2023-12,3,0.9370516017063671,0.31235053390212236,0.6666666666666666
2024-01,2,-0.08209999999999984,-0.04104999999999992,0.5
2024-02,10,-4.296953453973595,-0.4296953453973595,0.3
2024-03,1,-1.029164615384615,-1.029164615384615,0.0
2024-04,2,-2.1270026315789465,-1.0635013157894733,0.0
2024-06,1,-1.0184444444444445,-1.0184444444444445,0.0
2024-07,12,7.727182992259646,0.6439319160216371,0.8333333333333334
2024-08,2,-2.031508678670727,-1.0157543393353634,0.0
2024-09,6,-0.37968755185781633,-0.06328125864296939,0.5
2024-10,2,-2.156277499999997,-1.0781387499999986,0.0
2024-11,18,3.768969361040927,0.20938718672449597,0.6111111111111112
2024-12,6,1.9273373568939496,0.32122289281565825,0.6666666666666666
2025-01,11,4.760865594340752,0.4328059631218865,0.7272727272727273
2025-02,2,-0.018082159215815352,-0.009041079607907676,0.5
2025-03,2,-2.0304890230520174,-1.0152445115260087,0.0
2025-04,4,-0.12159372384956435,-0.030398430962391088,0.5
2025-05,1,0.9881258561643836,0.9881258561643836,1.0
2025-06,6,5.8038772999867145,0.9673128833311191,1.0
2025-07,18,11.46875148458925,0.6371528602549583,0.8333333333333334
2025-08,5,-0.6397658083546636,-0.1279531616709327,0.4
2025-09,5,-3.1471764328639518,-0.6294352865727904,0.2
2025-10,5,-1.3209780777205626,-0.2641956155441125,0.4
2025-11,4,-0.820737371185287,-0.20518434279632175,0.5
2025-12,2,-0.12686533765032348,-0.06343266882516174,0.5
2026-01,5,4.930653766323965,0.9861307532647929,1.0
2026-02,5,2.910304409429615,0.582060881885923,0.8
