stream,sym,side,entry_ts_utc,exit_ts_utc,year,entry_price,stop_init,tp_price,risk,tp_r,managed_r,baseline_r,saved_r,managed_reason,bars_5m,duration_h,mfe_r,balance_before,risk_pct,dollar_risk,dollar_pnl,balance_after
S2,BTCUSDT,-1,2022-01-04T16:00:00+00:00,2022-01-05T19:45:00+00:00,2022,46925.28,47541.48904611,45076.65286168,616.20904611,3.0,2.977155,2.977155,0.0,TP,334,27.75,4.5391,10000.0,2.7559,275.59,820.47,10756.25
S2,ETHUSDT,-1,2022-01-04T16:00:00+00:00,2022-01-05T19:20:00+00:00,2022,3849.02,3898.985339,3699.123983,49.965339,3.0,2.97689,2.97689,0.0,TP,329,27.33,3.0255,10000.0,2.7559,275.59,820.4,9935.77
S2,ETHUSDT,-1,2022-01-04T19:00:00+00:00,2022-01-04T19:10:00+00:00,2022,3771.04,3825.8499325,3606.6102025,54.8099325,3.0,-1.020641,-1.020641,0.0,SL,3,0.17,0.2614,10000.0,2.7559,275.59,-281.28,9718.72
S2,SOLUSDT,-1,2022-01-04T19:00:00+00:00,2022-01-05T09:45:00+00:00,2022,167.6,170.53802639,158.78592082,2.93802639,3.0,-1.017114,-1.017114,0.0,SL,178,14.75,0.1361,10000.0,2.7559,275.59,-280.31,9438.42
S3,SOLUSDT,-1,2022-01-04T19:00:00+00:00,2022-01-05T10:10:00+00:00,2022,167.6,171.27380264,150.95118377,3.91736852,4.25,-0.950659,-0.950659,0.0,SL,183,15.17,0.1021,10000.0,3.3981,339.81,-323.04,9115.37
S2,LINKUSDT,-1,2022-01-05T20:00:00+00:00,2022-01-07T16:40:00+00:00,2022,25.295,26.37445282,22.05664155,1.07945282,3.0,-1.00703,-1.00703,0.0,SL,537,44.67,2.7412,10756.25,2.7559,296.43,-298.52,10960.66
S5,ETHUSDT,-1,2022-01-05T20:00:00+00:00,2022-01-07T03:30:00+00:00,2022,3653.54,3730.64795114,3268.00024429,77.10795114,5.0,4.985785,4.985785,0.0,TP,379,31.5,5.4795,10756.25,0.5216,56.1,279.73,10979.38
S5,ETHUSDT,-1,2022-01-05T21:00:00+00:00,2022-01-07T04:15:00+00:00,2022,3592.31,3675.59024035,3175.90879827,83.28024035,5.0,4.987059,4.987059,0.0,TP,376,31.25,5.1705,10756.25,0.5216,56.1,279.8,11259.17
S5,SOLUSDT,-1,2022-01-05T22:00:00+00:00,2022-01-20T23:50:00+00:00,2022,153.4,158.65911261,127.10443694,5.25911261,5.0,4.991249,4.991249,0.0,TP,4343,361.83,5.2518,10756.25,0.5216,56.1,280.03,10113.44
S5,ETHUSDT,-1,2022-01-06T10:00:00+00:00,2022-01-06T14:35:00+00:00,2022,3307.5,3420.80991809,2740.95040955,113.30991809,5.0,-1.008757,-1.008757,0.0,SL,56,4.58,0.0047,10756.25,0.5216,56.1,-56.6,10699.65
S1,DOGEUSDT,1,2022-01-10T17:00:00+00:00,2022-01-10T17:30:00+00:00,2022,0.14557,0.1406811,0.20423679,0.0048889,12.0,-1.008933,-1.008933,0.0,SL,7,0.5,0.0839,10960.66,0.4981,54.6,-55.08,10905.58
S2,DOGEUSDT,-1,2022-01-11T13:00:00+00:00,2022-01-12T15:05:00+00:00,2022,0.15491,0.16039301,0.13846096,0.00548301,3.0,-1.008476,-1.008476,0.0,SL,314,26.08,1.8712,10905.58,2.7559,300.55,-303.09,10602.48
S1,DOGEUSDT,1,2022-01-13T06:00:00+00:00,2022-01-13T13:25:00+00:00,2022,0.17495,0.16833953,0.25427565,0.00661047,12.0,-1.00794,-1.00794,0.0,SL,90,7.42,0.1997,10602.48,0.4981,52.81,-53.23,10549.25
S2,SOLUSDT,-1,2022-01-13T17:00:00+00:00,2022-01-14T11:05:00+00:00,2022,152.43,155.88943574,142.05169279,3.45943574,3.0,2.986781,2.986781,0.0,TP,218,18.08,3.0063,10549.25,2.7559,290.73,868.34,11417.59
S2,ETHUSDT,-1,2022-01-17T04:00:00+00:00,2022-01-18T13:25:00+00:00,2022,3256.06,3299.93394617,3124.43816149,43.87394617,3.0,2.977736,2.977736,0.0,TP,402,33.42,3.3769,11417.59,2.7559,314.66,936.97,12165.93
S4,BTCUSDT,1,2022-01-17T06:00:00+00:00,2022-01-17T17:00:00+00:00,2022,42649.7,42090.73628232,53549.49249477,558.96371768,19.5,-1.02289,-1.02289,0.0,SL,133,11.0,0.5407,11417.59,1.6151,184.41,-188.63,11228.96
S2,XRPUSDT,-1,2022-01-18T09:00:00+00:00,2022-01-18T21:30:00+00:00,2022,0.7434,0.7544805,0.7101585,0.0110805,3.0,-1.020127,-1.020127,0.0,SL,151,12.5,0.8032,11228.96,2.7559,309.46,-315.69,11850.24
S2,BTCUSDT,-1,2022-01-19T04:00:00+00:00,2022-01-19T12:00:00+00:00,2022,41690.61,42241.36731712,40038.33804863,550.75731712,3.0,-1.022709,-1.022709,0.0,SL,97,8.0,1.044,11850.24,2.7559,326.58,-334.0,11183.16
S2,ETHUSDT,-1,2022-01-19T04:00:00+00:00,2022-01-19T14:40:00+00:00,2022,3097.25,3150.38119787,2937.85640638,53.13119787,3.0,-1.017488,-1.017488,0.0,SL,129,10.67,0.9834,11850.24,2.7559,326.58,-332.29,10519.93
S2,LINKUSDT,-1,2022-01-19T07:00:00+00:00,2022-01-19T14:40:00+00:00,2022,21.864,22.4285629,20.1703113,0.5645629,3.0,-1.011618,-1.011618,0.0,SL,93,7.67,1.169,11850.24,2.7559,326.58,-330.37,10189.55
S2,SOLUSDT,-1,2022-01-19T08:00:00+00:00,2022-01-19T14:30:00+00:00,2022,134.42,137.4409366,125.35719019,3.0209366,3.0,-1.013349,-1.013349,0.0,SL,79,6.5,0.5694,11850.24,2.7559,326.58,-330.94,10852.22
S2,XRPUSDT,-1,2022-01-19T08:00:00+00:00,2022-01-19T11:15:00+00:00,2022,0.7283,0.73926965,0.69539105,0.01096965,3.0,-1.019918,-1.019918,0.0,SL,40,3.25,0.4923,11850.24,2.7559,326.58,-333.09,11517.15
S3,SOLUSDT,-1,2022-01-19T08:00:00+00:00,2022-01-19T14:45:00+00:00,2022,134.42,137.94209366,117.30135925,4.02791547,4.25,-0.884433,-0.884433,0.0,SL,82,6.75,0.427,11850.24,3.3981,402.68,-356.15,9833.4
S2,BTCUSDT,-1,2022-01-20T22:00:00+00:00,2022-01-21T02:20:00+00:00,2022,41319.67,41951.80133758,39423.27598725,632.13133758,3.0,2.98039,2.98039,0.0,TP,53,4.33,3.6538,9833.4,2.7559,271.0,807.68,13346.63
S2,ETHUSDT,-1,2022-01-20T22:00:00+00:00,2022-01-21T01:50:00+00:00,2022,3078.74,3136.09930987,2906.6620704,57.35930987,3.0,2.983898,2.983898,0.0,TP,47,3.83,3.1705,9833.4,2.7559,271.0,808.63,11731.64
S2,LINKUSDT,-1,2022-01-20T22:00:00+00:00,2022-01-21T03:35:00+00:00,2022,20.856,21.47097791,19.01106626,0.61497791,3.0,2.989826,2.989826,0.0,TP,68,5.58,3.018,9833.4,2.7559,271.0,810.24,14856.16
S2,SOLUSDT,-1,2022-01-20T22:00:00+00:00,2022-01-21T01:40:00+00:00,2022,132.12,135.25676897,122.7096931,3.13676897,3.0,2.987364,2.987364,0.0,TP,45,3.67,3.0445,9833.4,2.7559,271.0,809.57,10923.01
S2,XRPUSDT,-1,2022-01-20T22:00:00+00:00,2022-01-21T01:50:00+00:00,2022,0.7322,0.74266916,0.70079252,0.01046916,3.0,2.979018,2.979018,0.0,TP,47,3.83,3.133,9833.4,2.7559,271.0,807.31,12538.95
S3,BTCUSDT,-1,2022-01-20T22:00:00+00:00,2022-01-21T12:35:00+00:00,2022,41319.67,42789.21313376,37737.59242037,842.84178344,4.25,4.235293,4.235293,0.0,TP,176,14.58,4.3561,9833.4,3.3981,334.15,1415.22,17103.72
S3,ETHUSDT,-1,2022-01-20T22:00:00+00:00,2022-01-21T12:35:00+00:00,2022,3078.74,3202.02593099,2753.70391075,76.47907982,4.25,4.237923,4.237923,0.0,TP,176,14.58,4.6077,9833.4,3.3981,334.15,1416.1,18519.82
S3,SOLUSDT,-1,2022-01-20T22:00:00+00:00,2022-01-21T21:35:00+00:00,2022,132.12,138.6236769,114.34497585,4.18235862,4.25,4.240523,4.240523,0.0,TP,284,23.58,4.3086,9833.4,3.3981,334.15,1416.97,19936.78
S2,BTCUSDT,-1,2022-01-21T00:00:00+00:00,2022-01-21T03:30:00+00:00,2022,40662.06,41348.5826074,38602.49217779,686.5226074,3.0,2.982231,2.982231,0.0,TP,43,3.5,3.4697,10113.44,2.7559,278.72,831.2,14045.92
S2,ETHUSDT,-1,2022-01-21T00:00:00+00:00,2022-01-21T12:15:00+00:00,2022,2999.92,3065.84578249,2802.14265254,65.92578249,3.0,2.986349,2.986349,0.0,TP,148,12.25,3.009,10113.44,2.7559,278.72,832.34,15688.5
S5,BTCUSDT,-1,2022-01-21T02:00:00+00:00,2022-01-22T10:05:00+00:00,2022,39750.68,40824.49687518,34381.5956241,1073.81687518,5.0,4.988895,4.988895,0.0,TP,386,32.08,5.1263,12538.95,0.5216,65.4,326.29,20589.53
S5,DOGEUSDT,-1,2022-01-21T02:00:00+00:00,2022-02-07T00:40:00+00:00,2022,0.15049,0.15678687,0.11900567,0.00629687,5.0,-1.00717,-1.00717,0.0,SL,4881,406.67,4.9183,12538.95,0.5216,65.4,-65.87,12500.05
