stream,n_trades,win_pct,avg_r,median_r,total_r,best_r,worst_r,maxDD_r,mcl,baseline_total_r,saved_r,sl_hits,be_hits,tp_hits
S1,778,12.08,0.5565,-1.0117,432.97,11.99,-1.04,70.27,63,432.97,0.0,684,0,94
S2,1910,29.42,0.1585,-1.0129,302.73,3.0,-1.1,82.6,36,302.73,0.0,1348,0,562
S3,225,22.22,0.1061,-0.8332,23.86,4.25,-2.79,31.67,28,23.86,0.0,175,0,50
S4,274,29.56,1.0601,-1.0113,290.46,19.49,-1.05,21.67,17,377.46,-87.0,193,59,22
