sym,n_trades,win_pct,avg_r,median_r,total_r,best_r,worst_r,maxDD_r,mcl,baseline_total_r,saved_r,sl_hits,be_hits,tp_hits
BTCUSDT,584,25.34,0.4818,-1.0202,281.34,19.48,-2.78,35.3,15,322.84,-41.5,436,10,138
DOGEUSDT,521,22.65,0.264,-1.0105,137.53,19.49,-2.32,37.45,15,131.53,6.0,403,3,115
ETHUSDT,505,23.96,0.2941,-1.015,148.5,19.48,-2.79,44.77,18,169.5,-21.0,384,10,111
LINKUSDT,550,25.45,0.2817,-1.0105,154.96,19.49,-2.24,35.3,20,134.96,20.0,410,10,130
SOLUSDT,557,26.03,0.3722,-1.0102,207.29,19.49,-1.99,50.87,23,255.29,-48.0,412,17,128
XRPUSDT,470,24.47,0.2562,-1.0128,120.4,19.49,-2.37,24.88,17,122.9,-2.5,355,9,106
