stream,reason,n,pct_of_stream,avg_r,total_r
S1,SL,684,87.92,-1.014,-693.58
S1,TP,94,12.08,11.9845,1126.55
S2,SL,1348,70.58,-1.0183,-1372.63
S2,TP,562,29.42,2.9811,1675.35
S3,SL,175,77.78,-1.0738,-187.92
S3,TP,50,22.22,4.2356,211.78
S4,BE,59,21.53,0.9847,58.1
S4,SL,193,70.44,-1.0164,-196.16
S4,TP,22,8.03,19.4786,428.53
