year,n_trades,win_pct,avg_r,median_r,total_r,best_r,worst_r,maxDD_r,mcl,baseline_total_r,saved_r,sl_hits,be_hits,tp_hits
2022,660,25.3,0.1126,-1.0101,74.33,19.48,-1.84,74.24,50,103.33,-29.0,493,6,161
2023,655,22.29,0.5643,-1.0139,369.64,19.49,-2.35,112.57,55,382.64,-13.0,509,14,132
2024,839,24.91,0.4662,-1.0129,391.18,19.49,-1.67,43.4,28,429.18,-38.0,630,22,187
2025,921,26.28,0.2533,-1.0116,233.3,19.49,-2.79,71.2,36,244.3,-11.0,679,15,227
2026,112,20.54,-0.1645,-1.0137,-18.43,11.98,-2.56,28.53,18,-22.43,4.0,89,2,21
