year,n,fvg_total_r,atr_total_r,saved_r,fvg_win_pct,atr_win_pct,fvg_maxDD,atr_maxDD
2022,54,14.43,8.35,6.08,24.07,22.22,9.39,9.92
2023,28,-1.07,-7.41,6.34,21.43,14.29,13.38,11.14
2024,37,15.2,14.96,0.24,27.03,27.03,8.15,8.09
2025,96,-4.87,12.94,-17.82,18.75,21.88,18.64,13.95
2026,10,0.18,5.6,-5.43,30.0,30.0,5.23,3.04
