chunk,n_trades,total_r,win_pct,max_dd_r,avg_hold_5m_bars
2022-01,24,-6.9603,29.17,10.8436,142.2
2022-02,17,-2.242,35.29,7.1038,81.3
2022-03,26,0.9818,42.31,2.7437,87.0
2022-04,24,-2.0307,37.5,9.2993,92.3
2022-05,24,-9.352,25.0,10.7435,151.2
2022-06,24,-11.8675,20.83,10.8523,97.1
2022-07,26,-3.9387,34.62,10.3422,89.4
2022-08,25,-0.5572,40.0,5.7163,130.2
2022-09,26,8.5593,53.85,4.0905,145.6
2022-10,25,-0.4325,40.0,7.3041,97.5
2022-11,24,-1.9048,37.5,9.3037,168.8
2022-12,22,-0.1156,40.91,10.4519,188.2
2023-01,29,5.3667,48.28,4.6577,137.4
2023-02,25,6.8129,52.0,6.1495,105.8
2023-03,18,-10.8691,16.67,9.8418,92.8
2023-04,23,3.9716,47.83,4.0963,154.5
2023-05,24,-2.2411,37.5,5.3179,84.5
2023-06,24,-7.0129,29.17,11.3489,123.1
2023-07,25,-0.6306,40.0,10.3652,130.3
2023-08,21,3.4217,47.62,4.0713,143.2
2023-09,22,-2.7626,36.36,6.9742,96.2
2023-10,29,0.0354,41.38,6.452,142.0
2023-11,20,2.095,45.0,8.2,193.7
2023-12,26,-11.6663,23.08,11.5178,85.8
2024-01,23,-3.6511,34.78,10.025,103.7
2024-02,32,-10.4065,28.12,13.8315,116.6
2024-03,27,0.0456,40.74,5.7262,125.2
2024-04,24,2.9969,45.83,3.0645,121.7
2024-05,27,-10.251,25.93,9.6816,93.0
2024-06,27,-5.4019,33.33,6.9814,141.0
2024-07,23,1.5011,43.48,7.8243,161.7
2024-08,20,-5.3979,30.0,5.1187,175.2
2024-09,23,-6.1364,30.43,9.8261,74.6
2024-10,25,-8.275,28.0,9.7543,157.2
2024-11,16,-3.7092,31.25,6.5724,105.3
2024-12,22,2.743,45.45,3.0457,127.8
2025-01,23,-0.8462,39.13,5.1346,203.8
2025-02,22,-14.8205,13.64,14.2909,118.0
2025-03,21,-8.8508,23.81,7.8347,208.6
2025-04,22,2.5957,45.45,3.1942,174.0
2025-05,27,2.3906,44.44,4.7291,104.4
2025-06,24,0.3862,41.67,5.7115,61.0
2025-07,18,-0.8841,38.89,5.1004,124.8
2025-08,25,6.9786,52.0,3.6147,121.8
2025-09,23,-1.1271,39.13,4.3761,142.8
2025-10,23,-5.9565,30.43,7.3367,87.3
2025-11,29,3.0246,44.83,6.1469,135.8
2025-12,28,8.7359,53.57,2.0813,87.2
2026-01,23,-1.1003,39.13,4.1389,80.0
2026-02,20,-7.8167,25.0,8.2949,162.9
