stream,sym,side,entry_ts_utc,exit_ts_utc,year,entry_price,stop_init,tp_price,risk,tp_r,managed_r,baseline_r,saved_r,managed_reason,bars_5m,duration_h,mfe_r
S1,SUIUSDT,1,2023-05-08T03:00:00+00:00,2023-05-08T17:35:00+00:00,2023,1.1719,1.11009776,1.91352691,0.06180224,12.0,-1.005689,-1.005689,0.0,SL,176,14.58,0.0291
S1,SUIUSDT,1,2023-05-10T01:00:00+00:00,2023-05-10T06:15:00+00:00,2023,1.2251,1.15948973,2.01242319,0.06561027,12.0,-1.005602,-1.005602,0.0,SL,64,5.25,0.0351
S5,SUIUSDT,-1,2023-05-14T17:00:00+00:00,2023-05-15T03:15:00+00:00,2023,1.1701,1.21316327,0.95478366,0.04306327,5.0,-1.008151,-1.008151,0.0,SL,124,10.25,1.0682
S5,SUIUSDT,-1,2023-05-21T17:00:00+00:00,2023-05-23T03:35:00+00:00,2023,1.0678,1.09487427,0.93242865,0.02707427,5.0,-1.011832,-1.011832,0.0,SL,416,34.58,1.2595
S1,SUIUSDT,1,2023-05-28T17:00:00+00:00,2023-05-29T04:50:00+00:00,2023,1.0437,1.02283761,1.29404867,0.02086239,12.0,-1.015008,-1.015008,0.0,SL,143,11.83,1.3996
S1,SUIUSDT,1,2023-05-28T23:00:00+00:00,2023-05-29T03:10:00+00:00,2023,1.0669,1.04138853,1.37303766,0.02551147,12.0,-1.012546,-1.012546,0.0,SL,51,4.17,0.2352
S2,SUIUSDT,-1,2023-05-29T16:00:00+00:00,2023-05-31T04:45:00+00:00,2023,1.0514,1.07955527,0.9669342,0.02815527,3.0,2.988797,2.988797,0.0,TP,442,36.75,3.0403
S2,SUIUSDT,-1,2023-06-02T14:00:00+00:00,2023-06-04T06:15:00+00:00,2023,0.9373,0.95710049,0.87789853,0.01980049,3.0,-1.014201,-1.014201,0.0,SL,484,40.25,1.5404
S4,SUIUSDT,1,2023-06-02T15:00:00+00:00,2023-06-03T05:45:00+00:00,2023,0.9428,0.91682796,1.44925469,0.02597204,19.5,-1.01089,-1.01089,0.0,SL,178,14.75,0.5429
S5,SUIUSDT,-1,2023-06-05T16:00:00+00:00,2023-06-05T23:25:00+00:00,2023,0.7817,0.82376937,0.57135313,0.04206937,5.0,-1.005574,-1.005574,0.0,SL,90,7.42,0.7535
S1,SUIUSDT,1,2023-06-10T08:00:00+00:00,2023-08-15T19:05:00+00:00,2023,0.5856,0.53264641,1.22104311,0.05295359,12.0,-1.003318,-1.003318,0.0,SL,19142,1595.08,5.7465
S2,SUIUSDT,-1,2023-06-13T16:00:00+00:00,2023-06-14T00:00:00+00:00,2023,0.6701,0.70009676,0.58010973,0.02999676,3.0,-1.006702,-1.006702,0.0,SL,97,8.0,0.1467
S5,SUIUSDT,-1,2023-06-14T21:00:00+00:00,2023-06-16T04:30:00+00:00,2023,0.631,0.66459754,0.46301229,0.03359754,5.0,-1.005634,-1.005634,0.0,SL,379,31.5,0.3244
S1,SUIUSDT,1,2023-06-16T21:00:00+00:00,2023-06-28T07:30:00+00:00,2023,0.7163,0.68526986,1.08866172,0.03103014,12.0,-1.006925,-1.006925,0.0,SL,3295,274.5,5.5946
S5,SUIUSDT,-1,2023-06-16T22:00:00+00:00,2023-06-17T01:15:00+00:00,2023,0.7012,0.73284228,0.54298862,0.03164228,5.0,-1.006648,-1.006648,0.0,SL,40,3.25,0.0379
S2,SUIUSDT,-1,2023-06-18T07:00:00+00:00,2023-06-20T00:35:00+00:00,2023,0.7731,0.79867106,0.69638681,0.02557106,3.0,-1.00907,-1.00907,0.0,SL,500,41.58,2.495
