month,n_trades,total_r,avg_r,win_rate
2022-03,5,-3.1495684239841495,-0.6299136847968299,0.2
2022-04,1,-1.0556500000000002,-1.0556500000000002,0.0
2022-05,1,0.9903884615384615,0.9903884615384615,1.0
2022-06,2,1.8929411764705866,0.9464705882352933,1.0
2022-07,6,1.888809225659922,0.314801537609987,0.6666666666666666
2022-08,1,-1.0052466960352422,-1.0052466960352422,0.0
2022-09,9,2.8642914383395266,0.3182546042599474,0.6666666666666666
2022-10,5,2.7575504953379903,0.5515100990675981,0.8
2022-11,4,-0.10949462505236718,-0.027373656263091795,0.5
2022-12,1,0.9866682926829268,0.9866682926829268,1.0
2023-01,2,-0.0716550045634331,-0.03582750228171655,0.5
2023-02,3,2.9238388795649835,0.9746129598549945,1.0
2023-03,10,-0.1461500759308636,-0.01461500759308636,0.5
2023-04,4,-2.104860585515685,-0.5262151463789212,0.25
2023-05,6,0.9433968013439349,0.15723280022398914,0.6666666666666666
2023-06,4,-0.06181493180732334,-0.015453732951830834,0.5
2023-07,6,-0.06169312439223529,-0.01028218739870588,0.5
2023-09,2,1.9164915714285717,0.9582457857142859,1.0
2023-10,4,-0.07178534965034977,-0.017946337412587443,0.5
2023-11,4,1.3872822565820713,0.3468205641455178,0.75
2023-12,3,0.9370516017063671,0.31235053390212236,0.6666666666666666
2024-01,2,-0.08209999999999984,-0.04104999999999992,0.5
2024-02,10,-4.296953453973595,-0.4296953453973595,0.3
2024-03,1,0.9708353846153849,0.9708353846153849,1.0
2024-04,2,-0.12700263157894642,-0.06350131578947321,0.5
2024-06,1,-1.0184444444444445,-1.0184444444444445,0.0
2024-07,12,9.727182992259646,0.8105985826883039,0.9166666666666666
2024-08,2,-2.031508678670727,-1.0157543393353634,0.0
2024-09,6,3.6203124481421836,0.6033854080236972,0.8333333333333334
2024-10,2,-0.15627749999999696,-0.07813874999999848,0.5
2024-11,19,6.730978451950019,0.3542620237868431,0.6842105263157895
2024-12,6,1.9273373568939496,0.32122289281565825,0.6666666666666666
2025-01,11,4.760865594340752,0.4328059631218865,0.7272727272727273
2025-02,2,-0.018082159215815352,-0.009041079607907676,0.5
2025-03,2,-2.0304890230520174,-1.0152445115260087,0.0
2025-04,4,3.878406276150436,0.969601569037609,1.0
2025-05,1,0.9881258561643836,0.9881258561643836,1.0
2025-06,6,5.8038772999867145,0.9673128833311191,1.0
2025-07,18,13.46875148458925,0.7482639713660695,0.8888888888888888
2025-08,5,1.4719441377501878,0.2943888275500376,0.6
2025-09,5,-3.1471764328639518,-0.6294352865727904,0.2
2025-10,5,-1.3209780777205626,-0.2641956155441125,0.4
2025-11,4,-0.8873346656702006,-0.22183366641755015,0.5
2025-12,2,1.8731346623496765,0.9365673311748383,1.0
2026-01,5,4.930653766323965,0.9861307532647929,1.0
2026-02,5,4.9103044094296155,0.9820608818859231,1.0
