month,n_trades,total_r,avg_r,win_rate
2022-03,2,-0.0705543306905746,-0.0352771653452873,0.5
2022-04,1,0.9732138620245004,0.9732138620245004,1.0
2022-05,2,1.9252994126766843,0.9626497063383421,1.0
2022-06,2,-2.0257415787003685,-1.0128707893501843,0.0
2022-07,8,1.7694002200457026,0.22117502750571283,0.625
2022-08,2,-0.0700900066767921,-0.03504500333839605,0.5
2022-09,4,-0.14942690832711958,-0.037356727081779895,0.5
2022-10,4,-0.09101327794090763,-0.02275331948522691,0.5
2022-11,2,-0.06844974598466746,-0.03422487299233373,0.5
2022-12,1,0.985750398724083,0.985750398724083,1.0
2023-01,6,2.902535659020563,0.4837559431700938,0.8333333333333334
2023-02,2,1.9801426946029332,0.9900713473014666,1.0
2023-03,8,-0.20127247262717707,-0.025159059078397134,0.5
2023-04,5,0.903719189374451,0.18074383787489018,0.6
2023-05,3,0.6940603705367043,0.2313534568455681,0.6666666666666666
2023-06,6,2.127543803402663,0.3545906339004438,0.6666666666666666
2023-08,1,-1.025170117363828,-1.025170117363828,0.0
2023-09,1,-1.0425386221294366,-1.0425386221294366,0.0
2023-10,9,2.756118270960617,0.3062353634400685,0.6666666666666666
2023-11,1,-1.0131537981269512,-1.0131537981269512,0.0
2023-12,5,4.877525962079501,0.9755051924159002,1.0
2024-01,5,-3.145013969102502,-0.6290027938205004,0.2
2024-02,13,6.470980524823988,0.4977677326787683,0.7692307692307693
2024-03,4,1.9137559129762165,0.4784389782440541,0.75
2024-04,3,0.7543799293134663,0.2514599764378221,0.6666666666666666
2024-05,7,-3.234686071001083,-0.4620980101430119,0.2857142857142857
2024-06,1,0.9604809847198646,0.9604809847198646,1.0
2024-07,8,-2.2626631177268783,-0.2828328897158598,0.375
2024-08,3,0.8246010843143533,0.2748670281047844,0.6666666666666666
2024-09,6,1.409290904739489,0.23488181745658152,0.6666666666666666
2024-10,8,3.4881779956012684,0.43602224945015855,0.75
2024-11,10,1.0200540565208644,0.10200540565208645,0.6
2024-12,3,-3.0638681590334578,-1.0212893863444858,0.0
2025-01,5,-1.1704219642568585,-0.2340843928513717,0.4
2025-03,6,1.763903488220613,0.2939839147034355,0.6666666666666666
2025-04,4,1.876588858104853,0.4691472145262133,0.75
2025-05,7,2.6303718232947295,0.3757674033278185,0.7142857142857143
2025-06,3,-1.1892127268782238,-0.39640424229274124,0.3333333333333333
2025-07,5,4.774907482664595,0.9549814965329191,1.0
2025-08,3,-1.1137606503194446,-0.37125355010648153,0.3333333333333333
2025-09,3,-1.2842709539318793,-0.4280903179772931,0.3333333333333333
2025-10,10,5.602294913907047,0.5602294913907047,0.8
2025-11,2,-0.16462116951614314,-0.08231058475807157,0.5
2025-12,1,0.9739419022654933,0.9739419022654933,1.0
2026-01,7,-1.264905435329769,-0.1807007764756813,0.42857142857142855
