year,n_trades,win_pct,avg_r,median_r,total_r,best_r,worst_r,maxDD_r,mcl,baseline_total_r,saved_r,sl_hits,be_hits,tp_hits
2022,178,21.35,0.2832,-1.0132,50.41,19.48,-2.06,26.41,17,44.41,6.0,140,3,35
2023,152,22.37,0.0399,-1.018,6.07,11.96,-1.6,30.11,21,22.57,-16.5,118,2,32
2024,177,18.64,-0.1619,-1.0163,-28.66,11.99,-1.24,44.13,14,-1.66,-27.0,144,7,26
2025,183,19.67,-0.0739,-1.0172,-13.52,11.98,-1.46,36.42,20,-15.52,2.0,147,1,35
2026,45,15.56,-0.4068,-1.0208,-18.31,4.98,-1.28,23.68,17,-22.31,4.0,38,2,5
