stream,year,n_trades,win_pct,avg_r,median_r,total_r,best_r,worst_r,maxDD_r,mcl,baseline_total_r,saved_r,sl_hits,be_hits,tp_hits
S1,2022,36,11.11,0.4291,-1.0118,15.45,11.99,-1.03,15.22,16,15.45,0.0,32,0,4
S1,2023,30,6.67,-0.1554,-1.0176,-4.66,11.96,-1.04,19.44,19,-4.66,0.0,28,0,2
S1,2024,33,6.06,-0.23,-1.0161,-7.59,11.99,-1.04,28.53,28,-7.59,0.0,31,0,2
S1,2025,33,6.06,-0.2341,-1.0188,-7.72,11.98,-1.05,15.29,15,-7.72,0.0,31,0,2
S1,2026,4,0.0,-1.0231,-1.0232,-4.09,-1.02,-1.03,3.07,4,-4.09,0.0,4,0,0
S2,2022,71,26.76,0.0508,-1.017,3.61,3.0,-1.04,18.83,11,3.61,0.0,52,0,19
S2,2023,63,36.51,0.4319,-1.0166,27.21,2.98,-1.08,12.38,11,27.21,0.0,40,0,23
S2,2024,84,19.05,-0.2608,-1.0209,-21.91,2.99,-1.06,24.89,11,-21.91,0.0,68,0,16
S2,2025,100,26.0,0.0129,-1.0201,1.29,2.99,-1.07,37.7,13,1.29,0.0,74,0,26
S2,2026,20,15.0,-0.4278,-1.0231,-8.56,2.98,-1.04,9.21,9,-8.56,0.0,17,0,3
S3,2022,12,25.0,0.1835,-0.8694,2.2,4.24,-2.06,7.51,6,2.2,0.0,9,0,3
S3,2023,5,40.0,0.9705,-0.8833,4.85,4.23,-1.6,2.0,2,4.85,0.0,3,0,2
S3,2024,12,16.67,-0.0335,-0.7158,-0.4,4.23,-1.24,4.69,6,-0.4,0.0,10,0,2
S3,2025,9,11.11,-0.3717,-0.9443,-3.35,4.24,-1.46,3.96,6,-3.35,0.0,8,0,1
S3,2026,1,0.0,-1.2799,-1.2799,-1.28,-1.28,-1.28,0.0,1,-1.28,0.0,1,0,0
S4,2022,17,29.41,1.7462,-1.0161,29.69,19.48,-1.03,7.2,7,23.69,6.0,12,3,2
S4,2023,20,10.0,-0.829,-1.024,-16.58,0.98,-1.05,18.54,18,-0.08,-16.5,18,2,0
S4,2024,16,43.75,-0.1413,-1.0116,-2.26,0.99,-1.02,6.15,4,24.74,-27.0,9,7,0
S4,2025,9,11.11,-0.802,-1.0172,-7.22,0.96,-1.04,8.18,8,-9.22,2.0,8,1,0
S4,2026,5,40.0,-0.2158,-1.0139,-1.08,0.99,-1.02,3.05,3,-5.08,4.0,3,2,0
S5,2022,42,16.67,-0.0126,-1.011,-0.53,4.99,-1.03,15.18,15,-0.53,0.0,35,0,7
S5,2023,34,14.71,-0.1397,-1.0157,-4.75,4.98,-1.06,13.27,14,-4.75,0.0,29,0,5
S5,2024,32,18.75,0.1091,-1.0125,3.49,4.99,-1.03,12.21,13,3.49,0.0,26,0,6
S5,2025,32,18.75,0.1087,-1.0135,3.48,4.99,-1.03,8.22,7,3.48,0.0,26,0,6
S5,2026,15,13.33,-0.22,-1.0191,-3.3,4.98,-1.03,12.22,12,-3.3,0.0,13,0,2
