stream,sym,exit_ts_utc,managed_r,cum_r
S1,BNBUSDT,2022-01-24T12:40:00+00:00,-1.004631,-1.0046
S1,BNBUSDT,2022-02-05T14:30:00+00:00,-1.011656,-2.0163
S1,BNBUSDT,2022-02-05T17:00:00+00:00,-1.012639,-3.0289
S1,BNBUSDT,2022-02-16T13:55:00+00:00,-1.013633,-4.0426
S1,BNBUSDT,2022-02-17T13:40:00+00:00,-1.011458,-5.054
S1,BNBUSDT,2022-02-20T05:00:00+00:00,-1.013292,-6.0673
S1,BNBUSDT,2022-03-01T09:30:00+00:00,-1.01055,-7.0779
S1,BNBUSDT,2022-03-04T00:45:00+00:00,-1.011489,-8.0893
S1,BNBUSDT,2022-03-04T22:30:00+00:00,-1.010737,-9.1001
S1,BNBUSDT,2022-03-28T16:20:00+00:00,-1.019536,-10.1196
S1,BNBUSDT,2022-03-31T14:00:00+00:00,-1.015773,-11.1354
S1,BNBUSDT,2022-04-20T18:40:00+00:00,-1.020783,-12.1562
S1,BNBUSDT,2022-05-09T15:30:00+00:00,-1.010153,-13.1663
S1,BNBUSDT,2022-05-23T14:05:00+00:00,-1.017152,-14.1835
S1,BNBUSDT,2022-06-06T13:10:00+00:00,-1.019358,-15.2028
S1,BNBUSDT,2022-06-06T16:15:00+00:00,-1.019866,-16.2227
S1,BNBUSDT,2022-07-16T07:45:00+00:00,-1.012736,-17.2354
S1,BNBUSDT,2022-07-29T12:30:00+00:00,-1.010299,-18.2457
S1,BNBUSDT,2022-07-29T18:10:00+00:00,11.986661,-6.2591
S1,BNBUSDT,2022-07-30T10:00:00+00:00,-1.008923,-7.268
S1,BNBUSDT,2022-08-05T01:50:00+00:00,11.983985,4.716
S1,BNBUSDT,2022-09-07T02:20:00+00:00,-1.011827,3.7042
S1,BNBUSDT,2022-09-30T19:50:00+00:00,-1.017056,2.6871
S1,BNBUSDT,2022-10-05T08:15:00+00:00,-1.024278,1.6628
S1,BNBUSDT,2022-10-25T23:50:00+00:00,-1.024038,0.6388
S1,BNBUSDT,2022-10-29T11:35:00+00:00,-1.016894,-0.3781
S1,BNBUSDT,2022-10-29T13:20:00+00:00,-1.018111,-1.3962
S1,BNBUSDT,2022-10-30T07:10:00+00:00,11.967765,10.5715
S1,BNBUSDT,2022-10-31T09:30:00+00:00,11.973787,22.5453
S1,BNBUSDT,2022-11-01T13:45:00+00:00,-1.011721,21.5336
S1,BNBUSDT,2022-11-06T23:10:00+00:00,-1.010093,20.5235
S1,BNBUSDT,2022-11-08T04:15:00+00:00,-1.010987,19.5125
S1,BNBUSDT,2022-11-28T01:45:00+00:00,-1.011058,18.5015
S1,BNBUSDT,2022-11-28T16:20:00+00:00,-1.011131,17.4903
S1,BNBUSDT,2022-12-12T02:50:00+00:00,-1.027323,16.463
S1,BNBUSDT,2022-12-13T03:50:00+00:00,-1.014336,15.4487
S1,BNBUSDT,2023-01-09T20:05:00+00:00,-1.019489,14.4292
S1,BNBUSDT,2023-01-14T09:15:00+00:00,-1.012193,13.417
S1,BNBUSDT,2023-01-14T09:15:00+00:00,-1.012113,12.4049
S1,BNBUSDT,2023-01-30T07:15:00+00:00,-1.01728,11.3876
S1,BNBUSDT,2023-02-03T02:35:00+00:00,-1.015311,10.3723
S1,BNBUSDT,2023-02-09T16:25:00+00:00,-1.016003,9.3563
S1,BNBUSDT,2023-02-13T16:30:00+00:00,-1.009934,8.3464
S1,BNBUSDT,2023-03-10T09:35:00+00:00,-1.014735,7.3316
S1,BNBUSDT,2023-04-11T12:15:00+00:00,-1.023883,6.3077
S1,BNBUSDT,2023-04-11T23:00:00+00:00,-1.027835,5.2799
S1,BNBUSDT,2023-04-14T14:00:00+00:00,-1.025511,4.2544
S1,BNBUSDT,2023-04-14T15:30:00+00:00,-1.031431,3.223
S1,BNBUSDT,2023-04-16T12:25:00+00:00,11.949034,15.172
