stream,reason,n,pct_of_stream,avg_r,total_r
S1,SL,126,92.65,-1.0186,-128.34
S1,TP,10,7.35,11.9723,119.72
S2,SL,251,74.26,-1.0245,-257.16
S2,TP,87,25.74,2.9747,258.8
S3,SL,31,79.49,-1.0268,-31.83
S3,TP,8,20.51,4.2325,33.86
S4,BE,15,22.39,0.9832,14.75
S4,SL,50,74.63,-1.023,-51.15
S4,TP,2,2.99,19.4749,38.95
S5,SL,129,83.23,-1.0164,-131.12
S5,TP,26,16.77,4.9812,129.51
