stream,mfe_bucket,n_trades,win_pct,avg_r,total_r,tp_hits,be_hits,sl_hits
S1,0-1R,78,0.0,-1.0188,-79.46,0,0,78
S1,1-2R,20,0.0,-1.0191,-20.38,0,0,20
S1,2-3.5R,15,0.0,-1.0177,-15.27,0,0,15
S1,3.5-6.5R,8,0.0,-1.0184,-8.15,0,0,8
S1,6.5-10R,2,0.0,-1.0181,-2.04,0,0,2
S1,<=0R,2,0.0,-1.0166,-2.03,0,0,2
S1,>10R,11,90.91,10.7919,118.71,10,0,1
S2,0-1R,147,0.0,-1.0259,-150.8,0,0,147
S2,1-2R,67,0.0,-1.0238,-68.6,0,0,67
S2,2-3.5R,107,70.09,1.7806,190.53,75,0,32
S2,3.5-6.5R,11,100.0,2.9724,32.7,11,0,0
S2,6.5-10R,1,100.0,2.9203,2.92,1,0,0
S2,<=0R,5,0.0,-1.0214,-5.11,0,0,5
S3,0-1R,16,0.0,-0.9876,-15.8,0,0,16
S3,1-2R,8,0.0,-1.1641,-9.31,0,0,8
S3,2-3.5R,6,0.0,-0.9505,-5.7,0,0,6
S3,3.5-6.5R,8,100.0,4.2325,33.86,8,0,0
S3,<=0R,1,0.0,-1.0143,-1.01,0,0,1
S4,0-1R,30,0.0,-1.0225,-30.67,0,0,30
S4,1-2R,5,0.0,-1.0196,-5.1,0,0,5
S4,2-3.5R,12,0.0,-1.0214,-12.26,0,0,12
S4,3.5-6.5R,9,100.0,0.9813,8.83,0,9,0
S4,6.5-10R,5,100.0,0.9861,4.93,0,5,0
S4,<=0R,3,0.0,-1.0404,-3.12,0,0,3
S4,>10R,3,100.0,13.3119,39.94,2,1,0
S5,0-1R,84,0.0,-1.017,-85.43,0,0,84
S5,1-2R,24,0.0,-1.0138,-24.33,0,0,24
S5,2-3.5R,18,0.0,-1.0166,-18.3,0,0,18
S5,3.5-6.5R,26,92.31,4.5198,117.51,24,0,2
S5,6.5-10R,1,100.0,4.9562,4.96,1,0,0
S5,<=0R,1,0.0,-1.0096,-1.01,0,0,1
S5,>10R,1,100.0,4.991,4.99,1,0,0
