stream,n_trades,win_pct,avg_r,median_r,total_r,best_r,worst_r,maxDD_r,mcl,baseline_total_r,saved_r,sl_hits,be_hits,tp_hits
S1,136,7.35,-0.0634,-1.0162,-8.62,11.99,-1.05,42.35,28,-8.62,0.0,126,0,10
S2,338,25.74,0.0048,-1.0194,1.64,3.0,-1.08,46.66,13,1.64,0.0,251,0,87
S3,39,20.51,0.052,-0.8833,2.03,4.24,-2.06,10.11,12,2.03,0.0,31,0,8
S4,67,25.37,0.038,-1.0167,2.55,19.48,-1.05,29.19,18,34.05,-31.5,50,15,2
S5,155,16.77,-0.0104,-1.0133,-1.61,4.99,-1.06,33.16,29,-1.61,0.0,129,0,26
