sym,variant,n,total_R,win_pct,maxDD,mcl,ann_R
AVAXUSDT,L1L2_ema50,155,21.28,21.9,21.28,12,5.0
AVAXUSDT,L1L2_ema100,155,21.28,21.9,21.28,12,5.0
AVAXUSDT,L1L2_ema200,147,12.37,21.1,19.27,15,2.9
TAOUSDT,baseline,81,35.27,11.1,26.28,26,8.2
TAOUSDT,L1,81,54.27,29.6,13.22,8,12.7
TAOUSDT,L2_ema50,72,31.34,11.1,25.27,25,7.3
TAOUSDT,L2_ema100,71,32.35,11.3,24.26,24,7.5
TAOUSDT,L2_ema200,70,33.35,11.4,23.25,23,7.8
TAOUSDT,L1L2_ema50,72,46.34,29.2,12.21,9,10.8
TAOUSDT,L1L2_ema100,71,45.35,28.2,13.2,9,10.6
TAOUSDT,L1L2_ema200,70,46.35,28.6,12.19,9,10.8
