mode,tp,subset,start,n_signals_all,n_signals_fvg,label,n,win_pct,avg_r,total_r,max_dd,dd_per_trade,mcl,sl_hits,sl_hit_pct
STANDARD,4.0,fvg_only,2022-01-01,36347,3058,,3052,24.3,0.2005,611.87,180.53,0.0592,78,2310,75.7
FVG-ONE,4.0,fvg_only,2022-01-01,36347,3058,,3056,10.5,0.0918,280.54,58.29,0.0191,79,2735,89.5
