symbol,tp_r,entry_ts_utc,exit_ts_utc,entry_idx_4h,side,entry_price,stop_init,risk,tp_price,mfe1,lock1,mfe2,lock2,mfe3,lock3,rsi_l,rsi_h,rsi_window,sl_n,entry_tp_r,fee_bps,baseline_r,managed_r,managed_reason,hold_5m_bars
BTCUSDT,14.0,2022-07-03T16:00:00+00:00,2022-07-03T18:20:00+00:00,721,1,19035.3,18780.1,255.20000000000073,22608.10000000001,1.0,0.7,6.5,5.5,,,40,70,28,2,5.0,3.0,13.977623079937304,0.6776230799372999,BE,29
BTCUSDT,14.0,2022-07-12T20:00:00+00:00,2022-07-12T20:30:00+00:00,776,1,19383.7,19252.5,131.20000000000073,21220.50000000001,1.0,0.7,6.5,5.5,,,40,70,28,2,5.0,3.0,-1.0443224847560972,0.6556775152438998,BE,7
BTCUSDT,14.0,2022-07-26T16:00:00+00:00,2022-07-26T17:05:00+00:00,859,1,20737.6,20689.6,48.0,21409.6,1.0,0.7,6.5,5.5,,,40,70,28,2,5.0,3.0,13.87039,5.37039,BE,14
BTCUSDT,14.0,2022-08-19T04:00:00+00:00,2022-08-19T04:40:00+00:00,1000,1,22759.0,22702.0,57.0,23557.0,1.0,0.7,6.5,5.5,,,40,70,28,2,5.0,3.0,-1.1197842105263158,0.5802157894737097,BE,9
BTCUSDT,14.0,2022-08-23T04:00:00+00:00,2022-08-23T05:35:00+00:00,1024,1,21228.5,20950.0,278.5,25127.5,1.0,0.7,6.5,5.5,,,40,70,28,2,5.0,3.0,-1.0228673249551168,-1.0228673249551168,SL,20
BTCUSDT,14.0,2022-08-26T16:00:00+00:00,2022-08-26T16:20:00+00:00,1045,1,20769.6,20560.0,209.59999999999854,23703.999999999978,1.0,0.7,6.5,5.5,,,40,70,28,2,5.0,3.0,-1.0297274809160308,-1.0297274809160308,SL,5
BTCUSDT,14.0,2022-08-29T20:00:00+00:00,2022-08-30T10:45:00+00:00,1064,1,20090.5,19754.1,336.40000000000146,24800.10000000002,1.0,0.7,6.5,5.5,,,40,70,28,2,5.0,3.0,-1.0179166171224732,0.6820833828775225,BE,178
BTCUSDT,14.0,2022-08-30T16:00:00+00:00,2022-08-30T16:15:00+00:00,1069,1,19743.7,19634.4,109.29999999999927,21273.89999999999,1.0,0.7,6.5,5.5,,,40,70,28,2,5.0,3.0,-1.0541913083257095,0.6458086916742806,BE,4
BTCUSDT,14.0,2022-09-06T20:00:00+00:00,2022-09-06T20:05:00+00:00,1112,1,18813.1,18700.0,113.09999999999854,20396.499999999978,1.0,0.7,6.5,5.5,,,40,70,28,2,5.0,3.0,-1.0499021220159157,-1.0499021220159157,SL,2
BTCUSDT,14.0,2022-09-19T04:00:00+00:00,2022-09-19T05:55:00+00:00,1186,1,18766.2,18655.0,111.20000000000073,20323.00000000001,1.0,0.7,6.5,5.5,,,40,70,28,2,5.0,3.0,-1.0506282374100717,-1.0506282374100717,SL,24
