symbol,strategy_id,tp_r,entry_ts_utc,exit_ts_utc,side,entry_price,stop_init,risk,tp_price,fee_bps,baseline_r,managed_r,managed_reason,hold_5m_bars,bb_period,bb_std,atr_mult,bb_upper,bb_lower,bb_mid,bb_width,atr,atr_ratio,er,structure,vol,regime,entry_idx_4h
XRPUSDT,bb_balanced,2.0,2022-01-12 16:00:00+00:00,2022-01-19 07:10:00+00:00,-1,0.7912,0.8219192667633339,0.03071926676333392,0.7297614664733322,3.0,1.99227325,1.99227325,TP,1911,20,2.0,1.5,0.784725,0.719325,0.752025,8.696509,0.02048,1.0251,0.2348,BALANCED,NORMAL,BALANCED_NORMAL,70
XRPUSDT,bb_balanced,2.0,2022-01-17 16:00:00+00:00,2022-01-18 09:15:00+00:00,1,0.7584,0.7386879914807603,0.01971200851923971,0.7978240170384794,3.0,-1.0115422,-1.0115422,SL,208,20,2.0,1.5,0.788735,0.758345,0.77354,3.928603,0.013141,0.7149,0.212,BALANCED,NORMAL,BALANCED_NORMAL,100
XRPUSDT,bb_balanced,2.0,2022-01-21 00:00:00+00:00,2022-01-21 01:55:00+00:00,1,0.7193,0.6967180611604692,0.022581938839530857,0.7644638776790618,3.0,-1.00955587,-1.00955587,SL,24,20,2.0,1.5,0.767711,0.723909,0.74581,5.873138,0.015055,0.9625,0.2854,BALANCED,NORMAL,BALANCED_NORMAL,120
XRPUSDT,bb_balanced,2.0,2022-01-31 04:00:00+00:00,2022-02-01 09:05:00+00:00,1,0.5858,0.5639092294932054,0.021890770506794555,0.6295815410135891,3.0,1.99197196,1.99197196,TP,350,20,2.0,1.5,0.62684,0.59108,0.60896,5.872263,0.014594,0.6564,0.1829,BALANCED,NORMAL,BALANCED_NORMAL,181
XRPUSDT,bb_balanced,2.0,2022-02-04 20:00:00+00:00,2022-02-05 00:10:00+00:00,-1,0.6397,0.6599640976374229,0.020264097637422873,0.5991718047251543,3.0,-1.00947044,-1.00947044,SL,51,20,2.0,1.5,0.637041,0.591399,0.61422,7.430748,0.013509,0.882,0.1546,BALANCED,NORMAL,BALANCED_NORMAL,209
XRPUSDT,bb_balanced,2.0,2022-02-11 20:00:00+00:00,2022-02-21 21:50:00+00:00,1,0.7896,0.7381274446757619,0.05147255532423811,0.8925451106484762,3.0,-1.00460206,-1.00460206,SL,2903,20,2.0,1.5,0.903916,0.791404,0.84766,13.27333,0.034315,1.4266,0.2019,BALANCED,NORMAL,BALANCED_NORMAL,251
XRPUSDT,bb_balanced,2.0,2022-02-16 00:00:00+00:00,2022-02-17 18:25:00+00:00,-1,0.8512,0.8914890148849517,0.040289014884951735,0.7706219702300965,3.0,1.9936618,1.9936618,TP,510,20,2.0,1.5,0.850485,0.781095,0.81579,8.505966,0.026859,0.8283,0.2189,BALANCED,NORMAL,BALANCED_NORMAL,276
XRPUSDT,bb_balanced,2.0,2022-02-17 20:00:00+00:00,2022-02-21 21:50:00+00:00,1,0.7822,0.7439452145191373,0.038254785480862696,0.8587095709617254,3.0,-1.00613413,-1.00613413,SL,1175,20,2.0,1.5,0.854852,0.785908,0.82038,8.403852,0.025503,0.8168,0.0229,BALANCED,NORMAL,BALANCED_NORMAL,287
XRPUSDT,bb_balanced,2.0,2022-02-22 00:00:00+00:00,2022-02-24 03:05:00+00:00,1,0.7013,0.6536082968277219,0.04769170317227811,0.7966834063445563,3.0,-1.00441146,-1.00441146,SL,614,20,2.0,1.5,0.836366,0.733444,0.784905,13.112688,0.031794,1.1642,0.2048,BALANCED,NORMAL,BALANCED_NORMAL,312
XRPUSDT,bb_balanced,2.0,2022-03-01 00:00:00+00:00,2022-03-12 01:00:00+00:00,-1,0.7808,0.8282788533596008,0.04747885335960078,0.6858422932807985,3.0,-1.00493356,-1.00493356,SL,3181,20,2.0,1.5,0.765318,0.632652,0.698985,18.979768,0.031653,1.1065,0.2332,BALANCED,NORMAL,BALANCED_NORMAL,336
