tp_r,n_trades,managed_total_r,baseline_total_r
12.0,1585,1245.1626184842266,1544.1626184842264
13.0,1585,1270.1626184842266,1670.1626184842264
14.0,1585,1325.1626184842266,1778.1626184842266
