structure_regime,event_side,premium_discount_zone,n,mean_r,median_r,win_rate,sl_rate,tp_rate,time_rate
BALANCE,bearish,discount,544,0.027573529411764705,-1.0,0.3014705882352941,0.5753676470588235,0.3014705882352941,0.12316176470588236
BALANCE,bearish,premium,54,-0.037037037037037035,-1.0,0.2962962962962963,0.6296296296296297,0.2962962962962963,0.07407407407407407
BALANCE,bullish,discount,20,-0.25,-1.0,0.25,0.75,0.25,0.0
BALANCE,bullish,premium,426,-0.04929577464788732,-1.0,0.2746478873239437,0.5985915492957746,0.2746478873239437,0.1267605633802817
IMBALANCE,bearish,discount,270,-0.011111111111111112,-1.0,0.28888888888888886,0.5888888888888889,0.28888888888888886,0.12222222222222222
IMBALANCE,bearish,premium,4,1.25,2.0,0.75,0.25,0.75,0.0
IMBALANCE,bullish,premium,284,0.06690140845070415,-1.0,0.3204225352112676,0.573943661971831,0.3204225352112676,0.1056338028169014
