event_side,premium_discount_zone,n,mean_gap_bps,mean_mfe_r,mean_mae_r,plus_hit,minus_hit,both_hit,fill_fast,fill_slow,edge_score
bearish,discount,210,153.52504919960185,3.1350720074085783,2.4664207166143433,0.5333333333333333,0.43333333333333335,0.01904761904761905,0.6904761904761905,0.8238095238095238,0.09999999999999998
bearish,premium,20,166.92709286557573,2.0680780724189836,1.7340746081612983,0.6,0.4,0.0,0.65,0.9,0.19999999999999996
bullish,discount,2,64.01288269175623,0.2842500763642011,2.568683896133303,0.0,1.0,0.0,1.0,1.0,-1.0
bullish,premium,183,185.15384612015117,3.9292673924046073,2.8506200114557982,0.47540983606557374,0.4918032786885246,0.0273224043715847,0.6994535519125683,0.7923497267759563,-0.016393442622950838
