high_vol_size_bucket,event_side,n,mean_gap_bps,mean_mfe_r,mean_mae_r,plus1r_fast,minus1r_fast,both_fast,full_fill_fast,full_fill_slow,edge_score_fast
high_vol_large,bearish,20,409.6613610216415,2.001338052617825,2.188450000958969,0.6,0.4,0.0,0.25,0.5,0.19999999999999996
high_vol_large,bullish,8,405.90959008260467,2.1153833367213974,2.0565639853146696,0.5,0.5,0.0,0.125,0.375,0.0
high_vol_regular,bearish,155,104.79520668637069,3.323418146291152,2.260801894563841,0.5096774193548387,0.47096774193548385,0.01935483870967742,0.4967741935483871,0.6645161290322581,0.03870967741935483
high_vol_regular,bullish,92,101.152781157864,2.6353186043035586,1.883412914723426,0.5217391304347826,0.45652173913043476,0.010869565217391304,0.45652173913043476,0.6304347826086957,0.06521739130434784
