trend_alignment,event_side,n,mean_gap_bps,mean_mfe_r,mean_mae_r,plus1r_fast,minus1r_fast,both_fast,full_fill_fast,full_fill_slow,edge_score_fast
trend_aligned,bearish,282,130.4199123353385,3.740663349735011,2.923404619324365,0.5,0.48936170212765956,0.010638297872340425,0.6702127659574468,0.7801418439716312,0.010638297872340441
trend_aligned,bullish,277,119.59800627850045,3.7552208279932007,2.5688721651956756,0.5342960288808665,0.4404332129963899,0.02527075812274368,0.6967509025270758,0.8086642599277978,0.09386281588447659
trend_counter,bearish,61,57.436065580123056,2.5273717749627145,3.4048924783327377,0.5081967213114754,0.47540983606557374,0.01639344262295082,0.7868852459016393,0.8688524590163934,0.032786885245901676
trend_counter,bullish,50,69.26618402832361,2.795161337990909,3.5426939717051003,0.46,0.54,0.0,0.7,0.8,-0.08000000000000002
