structure_regime,event_side,n,mean_r,win_rate
BALANCE,bearish,598,0.021739130434782608,0.3010033444816054
BALANCE,bullish,446,-0.05829596412556054,0.273542600896861
IMBALANCE,bearish,274,0.0072992700729927005,0.2956204379562044
IMBALANCE,bullish,284,0.06690140845070415,0.3204225352112676
