event_type,event_side,structure_regime,count
FVG,bearish,BALANCE,1848
FVG,bearish,IMBALANCE,408
FVG,bullish,BALANCE,1957
FVG,bullish,IMBALANCE,431
ORDER_BLOCK_PROXY,bearish,BALANCE,736
ORDER_BLOCK_PROXY,bearish,IMBALANCE,187
ORDER_BLOCK_PROXY,bullish,BALANCE,737
ORDER_BLOCK_PROXY,bullish,IMBALANCE,186
