Date,open,high,low,close,volume,atr,atr_pct,atr_roc,eff_ratio,trend_sep,breakout,structure_regime,vol_regime,combined_regime
2022-03-04 08:00:00+00:00,0.7372,0.7463,0.7251,0.7414,111800526.7,0.02001774120277795,2.699992069433228,-0.0009914633664953598,0.2957998212689909,0.41400307730946806,0,BALANCE,NORMAL_VOL,BALANCE__NORMAL_VOL
2022-03-04 12:00:00+00:00,0.7414,0.743,0.7277,0.7322,147181505.8,0.019680759688293806,2.6878939754566797,-0.004480788708052685,0.333333333333334,0.4788997221748646,0,BALANCE,NORMAL_VOL,BALANCE__NORMAL_VOL
2022-03-04 16:00:00+00:00,0.7323,0.742,0.7116,0.7138,145143471.7,0.020446419710558533,2.86444658315474,0.06568436452857629,0.40573152337858276,0.5580295279047082,1,BALANCE,HIGH_VOL,BALANCE__HIGH_VOL
2022-03-04 20:00:00+00:00,0.7138,0.7199,0.6919,0.7122,158093931.7,0.020985961159804355,2.9466387475153546,0.028693907173543032,0.5464926590538349,0.6281294310398624,0,BALANCE,NORMAL_VOL,BALANCE__NORMAL_VOL
2022-03-05 00:00:00+00:00,0.7122,0.7223,0.7041,0.7197,113012622.9,0.020786963934104053,2.888281774920669,-0.019804590109287368,0.4697674418604666,0.6856717639439494,0,BALANCE,NORMAL_VOL,BALANCE__NORMAL_VOL
2022-03-05 04:00:00+00:00,0.7197,0.7255,0.7156,0.7236,71060522.2,0.020009323653096624,2.765246497111197,-0.04259808682026922,0.4629629629629639,0.7452741176300441,0,BALANCE,NORMAL_VOL,BALANCE__NORMAL_VOL
2022-03-05 08:00:00+00:00,0.7235,0.7384,0.7234,0.7345,122367564.2,0.019651514820732574,2.6754955508145097,-0.032456761590855754,0.31994047619047655,0.7541043372591385,0,BALANCE,NORMAL_VOL,BALANCE__NORMAL_VOL
2022-03-05 12:00:00+00:00,0.7345,0.7689,0.7343,0.7587,404285069.1,0.020719263762108826,2.730890175577807,0.020704435388215536,0.06237424547283699,0.6432293836168325,0,BALANCE,NORMAL_VOL,BALANCE__NORMAL_VOL
2022-03-05 16:00:00+00:00,0.7587,0.7666,0.7477,0.7522,188839832.6,0.02058931635052962,2.7372130218731217,0.0023153059584231084,0.1628222523744916,0.5995631965703052,0,BALANCE,NORMAL_VOL,BALANCE__NORMAL_VOL
2022-03-05 20:00:00+00:00,0.7522,0.7594,0.743,0.7537,107479285.8,0.02029007946834893,2.6920630845626814,-0.01649485697665698,0.08405797101449247,0.5598925780362515,0,BALANCE,NORMAL_VOL,BALANCE__NORMAL_VOL
2022-03-06 00:00:00+00:00,0.7537,0.7589,0.7412,0.7425,89664892.6,0.020105073792038297,2.7077540460657636,0.005828600968922348,0.16294793779580752,0.5515834818758472,0,BALANCE,NORMAL_VOL,BALANCE__NORMAL_VOL
2022-03-06 04:00:00+00:00,0.7426,0.7491,0.7318,0.7455,128085319.6,0.019904711378321276,2.6699814055427598,-0.01394980484947872,0.1551376762928135,0.5347920195958223,0,BALANCE,NORMAL_VOL,BALANCE__NORMAL_VOL
