regime,hour_utc,start_share_blend,end_share_blend
BALANCE,12,0.13544046029363316,0.11211375563443154
BALANCE,0,0.12797874141357235,0.10703484725132462
BALANCE,20,0.12400687546404816,0.1277248802869881
IMBALANCE,0,0.12694388938317702,0.11329181312991352
IMBALANCE,20,0.12320123685477166,0.1283878589868876
IMBALANCE,16,0.11600764282901357,0.10509765026764487
HIGH_VOL,16,0.15945871726299868,0.1499021956340807
HIGH_VOL,12,0.15088066177433596,0.08089667380659663
HIGH_VOL,0,0.11672982758547848,0.09870509554409224
LOW_VOL,4,0.17167907506350177,0.084659717964439
LOW_VOL,20,0.15701497766488567,0.07257072786196024
LOW_VOL,8,0.11930104230533416,0.15406148725584654
