symbol,fvg_bull_count,bull_events_concepts,bull_plus1r_fast,bull_minus1r_fast,bull_edge_fast,bull_imb_n,bull_imb_edge_fast,bull_bal_n,bull_bal_edge_fast,stop_anchor_avg_mean_r_overall,stop_anchor_avg_win_rate_overall,tp_anchor_avg_mean_r_overall,tp_anchor_avg_win_rate_overall,stop_anchor_bull_balance_mean_r,stop_anchor_bull_imbalance_mean_r
DOGEUSDT,2626,1334,0.5097451274362819,0.46926536731634183,0.040479760119940034,331,0.06646525679758308,1003,0.03190428713858423,-0.0008213177621505,0.4675717914309637,-0.0267498583317409,0.6200801121837054,0.0178926441351888,-0.0361010830324909
SOLUSDT,2845,1492,0.5113941018766756,0.48056300268096513,0.03083109919571042,316,0.044303797468354444,1176,0.02721088435374147,0.025513068994643,0.487787475518234,0.0077605383793132,0.6532713810388312,0.0332278481012657,0.0381679389312977
LINKUSDT,2916,1521,0.5128205128205128,0.4812623274161736,0.03155818540433919,317,0.03470031545741331,1204,0.03073089700996673,-0.0244181991081526,0.457056370934746,0.0054213068310401,0.6494959413735317,-0.028391167192429,-0.0154440154440155
BTCUSDT,2388,1342,0.5193740685543964,0.45007451564828616,0.06929955290611023,308,0.006493506493506496,1034,0.08800773694390712,0.0609494663122991,0.4921519639360863,0.032632025461408,0.6326991540151115,0.0702087286527514,0.0579150579150579
ETHUSDT,2579,1415,0.5123674911660777,0.4742049469964664,0.03816254416961129,324,0.0,1091,0.049495875343721296,0.009673906587545,0.469881925629692,0.0503327495121532,0.6447026159907793,0.0271247739602169,-0.0112359550561798
XRPUSDT,2587,1289,0.49806051202482543,0.4794414274631497,0.018619084561675714,348,-0.005747126436781602,941,0.027630180658873515,0.0126147740372586,0.4751199959842274,-0.0523659477044992,0.6135664886999674,-0.0089686098654708,0.0457746478873238
