symbol,n_trades,n_chunks_with_trades,baseline_total_r,managed_total_r,baseline_delta_r,win_pct,max_dd_r,avg_hold_h
BTCUSDT,335,49,361.4793736611657,271.979373661166,-89.49999999999972,51.64179104477612,23.194073380067277,6.599004975124378
ETHUSDT,333,50,483.0907464676328,269.99074646763256,-213.10000000000025,46.846846846846844,28.20824818221731,5.478228228228228
XRPUSDT,244,43,423.3985905437165,262.0985905437166,-161.2999999999999,55.32786885245902,8.516743654761312,22.514344262295083
SOLUSDT,356,49,284.24833732889186,310.8483373288919,26.600000000000023,52.52808988764045,12.927742349777134,9.385767790262173
LINKUSDT,317,45,225.94557048281976,210.24557048281974,-15.700000000000017,49.52681388012618,12.465659573616676,14.636698212407993
