htf,n_all,n_fvg,best_tp,fvg_win,fvg_total,fvg_dd,fvg_ann,std_win,std_total,std_dd
15min,4402,905,5.5,16.2,90.14,46.09,21.1,17.7,107.79,44.08
5min,15455,3420,5.25,15.5,119.74,90.66,28.0,17.6,107.6,97.97
