sym,n_signals,n_fvg,label,n,win_pct,avg_r,total_r,max_dd,dd_per_trade,mcl
BTCUSDT,116,16,,16,25.0,0.4735,7.58,4.31,0.2691,7
ETHUSDT,95,19,,19,26.3,0.5253,9.98,3.09,0.1624,4
SOLUSDT,114,26,,26,15.4,0.0294,0.77,6.93,0.2666,9
LINKUSDT,79,22,,21,19.0,0.2147,4.51,5.59,0.2663,8
DOGEUSDT,94,22,,21,9.5,-0.266,-5.59,10.06,0.4791,15
XRPUSDT,82,11,,10,40.0,1.2117,12.12,3.0,0.3004,4
