subset,tp,ann_r,label,n,win_pct,avg_r,total_r,max_dd,dd_per_trade,mcl,sl_hits,sl_hit_pct
nocre_standard,5.25,26.1,,161,27.3,0.6953,111.94,14.21,0.0882,14,117,72.7
cre_fvg_low,5.25,8.1,,64,23.4,0.5387,34.48,11.67,0.1823,12,49,76.6
fvg_fvg_low,5.25,33.0,,225,24.9,0.6285,141.42,12.17,0.0541,14,169,75.1
nocre_fvg_low,5.5,24.4,,161,24.2,0.6491,104.5,15.67,0.0973,16,122,75.8
nocre_standard,5.5,25.7,,161,26.1,0.6828,109.94,14.21,0.0882,14,119,73.9
cre_fvg_low,5.5,8.9,,64,23.4,0.5973,38.23,11.67,0.1823,12,49,76.6
fvg_fvg_low,5.5,33.3,,225,24.0,0.6344,142.73,13.97,0.0621,14,171,76.0
nocre_fvg_low,5.75,25.0,,161,23.6,0.6652,107.1,15.67,0.0973,16,123,76.4
nocre_standard,5.75,26.6,,161,25.5,0.7061,113.69,14.21,0.0882,14,120,74.5
cre_fvg_low,5.75,8.1,,64,21.9,0.543,34.75,11.67,0.1823,12,50,78.1
fvg_fvg_low,5.75,33.1,,225,23.1,0.6305,141.85,13.97,0.0621,14,173,76.9
nocre_fvg_low,6.0,27.2,,161,23.6,0.7242,116.6,15.67,0.0973,16,123,76.4
nocre_standard,6.0,28.9,,161,25.5,0.7698,123.94,14.21,0.0882,14,120,74.5
cre_fvg_low,6.0,8.9,,64,21.9,0.5977,38.25,11.67,0.1823,12,50,78.1
fvg_fvg_low,6.0,36.2,,225,23.1,0.6882,154.85,13.97,0.0621,14,173,76.9
