year,n_trades,win_pct,total_r,max_dd_r
2022,418,51.196172248803826,199.6136588056495,14.582914427582722
2023,381,55.90551181102362,181.20791303201298,12.796282498479968
2024,362,54.41988950276243,268.4142330623923,16.71169049553953
2025,371,52.56064690026954,338.40017725160357,13.313369385658532
2026,55,50.90909090909091,35.48247528690901,12.221882553969891
