rsi_period,rsi_l,rsi_h,sl_n,tp_r,mfe1,lock1,mfe2,lock2,total_trades,managed_total_r,baseline_total_r,delta_m_minus_b,weighted_win_pct,max_asset_dd_r
7,35,65,2,0.7,1.0,0.8,6.5,5.5,12,4.335891880695417,4.335891880695417,0.0,83.33333333333334,1.0900312499999973
7,35,65,2,1.0,1.0,0.8,6.5,5.5,12,1.335891880695356,1.335891880695356,0.0,58.333333333333336,1.0900312499999973
14,30,70,2,0.7,1.0,0.8,6.5,5.5,3,0.2445424497525316,0.2445424497525316,0.0,66.66666666666666,0.0
14,30,70,2,1.0,1.0,0.8,6.5,5.5,3,-1.155457550247489,-1.155457550247489,0.0,33.33333333333333,1.094262500000002
14,35,65,2,0.7,1.0,0.8,6.5,5.5,6,-1.2951855084610768,-1.2951855084610768,0.0,50.0,1.9864217376662534
14,35,65,2,1.0,1.0,0.8,6.5,5.5,6,-4.3951855084610685,-4.3951855084610685,0.0,16.666666666666664,3.386421737666244
7,30,70,2,1.0,1.0,0.8,6.5,5.5,12,-6.833515546027614,-6.833515546027614,0.0,25.0,5.802025750109247
7,30,70,2,0.7,1.0,0.8,6.5,5.5,12,-7.733515546027595,-7.733515546027595,0.0,25.0,6.702025750109228
