rsi_l,rsi_h,sl_n,tp_r,mfe1,lock1,mfe2,lock2,total_trades,managed_total_r,baseline_total_r,delta_m_minus_b,weighted_win_pct,max_asset_dd_r
30,70,2,21.0,1.0,0.8,6.5,5.5,640,13.402532535988044,13.402532535988044,0.0,5.0,81.6087961954633
30,70,2,13.0,1.0,0.8,6.5,5.5,641,-33.60152770000316,-33.60152770000316,0.0,7.332293291731669,64.49834291348212
30,70,2,8.0,1.0,0.8,6.5,5.5,641,-79.60152770000315,-79.60152770000315,0.0,10.60842433697348,60.49834291348213
30,70,2,1.0,1.0,0.8,6.5,5.5,641,-127.60152770000316,-127.60152770000316,0.0,43.99375975039001,52.84692226470235
30,70,2,5.0,1.0,0.8,6.5,5.5,641,-133.60152770000317,-133.60152770000317,0.0,14.508580343213728,54.49834291348213
30,70,2,0.7,1.0,0.8,6.5,5.5,641,-134.0015277000033,-134.0015277000033,0.0,51.014040561622465,52.35170707992668
30,70,2,2.0,1.0,0.8,6.5,5.5,641,-148.60152770000315,-148.60152770000315,0.0,28.237129485179405,67.65377501978053
