source,session_day,event_type,anchor_ms,hit_ms,minutes_to_hit,level,hit_close,bars_post,end_ret_pct,max_up_pct,max_down_pct,time_to_peak_min,time_to_trough_min,realized_vol_pct,trend_slope_pct_per_bar,max_drawdown_pct,hit_candle_range,hit_candle_range_pct_of_level,hit_volume_zscore_24bars,pre_return_1h_pct,pre_return_2h_pct,pre_range_mean_pct,pre_realized_vol_pct,pre_trend_slope_pct,dist_level_from_hit_pct,post_vol_mean,post_vol_peak,pre_vol_mean,vol_rel_post_vs_pre,vol_rel_peak_vs_pre,vol_early_rel_pre,vol_mid_rel_pre,vol_late_rel_pre,continuation_pct,rejection_pct,label_direction,label_breakout,label_return_bucket,event_id,cluster_id
weekly,2025-01-01,week_high,1735768800000,1735771800000,50.0,2.3418,2.3438,171,2.77754074579743,4.607901698097112,1.297038996501398,95,55,4.377566343874529,0.005128574040952867,3.8798395678153486,0.017000000000000348,0.7259,1.8687,0.624461670973297,1.2348353552859703,0.4839007878943024,1.5061938554163998,0.028432588526685423,-0.0853315129277148,5614646.309356725,32760901.7,4813393.570833334,1.1664631671464736,6.806196339005822,1.7001699825142464,1.032411734493345,0.7668077844318298,4.697241438209918,1.2276303276562626,up,continuation,strong_up,0,0
weekly,2025-01-02,week_high,1735855200000,1735871100000,265.0,2.4518,2.4604,128,-2.186636319297669,0.5852706876930658,2.450821004714672,90,565,2.757071990738573,-0.014472247635656285,2.6171859174330505,0.026100000000000012,1.0645,7.3569,0.7108319213125545,1.212775678032973,0.3769712241911875,1.2196869185742905,0.04503864934503375,-0.349536660705574,3855286.0046875,16897809.1,3929659.4916666667,0.9810738087773547,4.3000695444055435,1.2979634134803306,0.9133156261143194,0.743266542284684,0.9380863039399677,2.154076913461933,down,rejection,strong_down,1,2
weekly,2025-01-03,week_high,1735941600000,1735956000000,240.0,2.4813,2.504,133,-2.2563897763578358,0.25958466453673923,3.0391373801916863,5,545,1.9151876885875478,-0.012305832749603505,2.8674121405750834,0.0343,1.3823,10.0979,1.2317891635292197,0.7863428943937366,0.37306975505857176,1.225033694895729,-0.0021793082465238938,-0.9065495207667709,2594518.55037594,32920075.1,4128712.0958333337,0.6284086877828825,7.973448943854114,1.0672636669945013,0.4340740348522871,0.38932214653032626,1.1768024825696164,2.199431607562086,down,rejection,strong_down,2,2
weekly,2025-01-14,week_high,1736892000000,1736904000000,200.0,2.7012,2.7016,141,2.9501036422860483,7.06618300266509,0.6884809002072909,390,0,5.242606191355556,-0.007724317667419319,5.967149490609194,0.024900000000000144,0.9218,12.4783,0.3966323666978546,0.4906367041198544,0.35812111341427466,1.063070788130072,0.026180773402914016,-0.014806040864671157,9715235.24822695,42507623.2,2857162.4458333333,3.4003090242190828,14.877566118786792,4.386173835549851,2.293872574177884,3.520880662929514,7.082037612912781,0.6783451360417524,up,continuation,strong_up,3,2
weekly,2025-01-15,week_high,1736978400000,1736978700000,5.0,3.0655,3.0703,180,8.412858678305044,10.347523043350808,4.859459987623359,895,150,6.600040842128388,0.02123574203448542,7.494019891728572,0.0524,1.7093,0.0,1.9503188989593836,3.134338494974201,0.625753183727974,1.8526700118376778,0.14090344092664578,-0.15633651434712945,12992245.183333335,70052673.4,8713547.745833334,1.4910396502441845,8.039512199092266,1.796623756282577,0.6696263397562081,2.006868854693767,10.520306638395034,4.9433432611002734,up,continuation,strong_up,4,0
weekly,2025-02-13,week_high,1739484000000,1739484300000,5.0,2.5392,2.534,180,6.290449881610111,10.09865824782952,1.4325177584846007,790,0,5.6279120067386925,0.050542548194153665,3.28886489821097,0.04190000000000005,1.6501,0.0,0.885917931784329,1.8042179690357183,0.4056498289923685,1.4358437322833009,0.09069188861558848,0.20520915548541105,5747256.107222222,43105299.2,3336066.5208333335,1.7227642408600967,12.920995109303908,1.5386566068985696,0.7355737442110982,2.894062371470623,9.87318840579709,1.661528606317816,up,continuation,strong_up,5,0
weekly,2025-02-24,week_low,1740434400000,1740434400000,0.0,2.2822,2.3223,181,-3.2338629806657173,1.860224777160579,11.161348662963437,0,805,9.998406006618334,-0.04715930846507722,12.204339887044048,0.08329999999999993,3.65,0.0,-2.4511017578608616,-1.5410245730945409,0.6290459171223922,2.19944442466719,-0.0791092521897369,-1.726736425095802,10347639.73480663,57228830.7,3683045.8958333335,2.8095332036217684,15.538451683359023,2.5985188362238874,2.514162255071455,3.3076171209478598,10.619940865687562,3.6499868547892356,down,continuation,strong_down,6,0
weekly,2025-02-27,week_low,1740693600000,1740709200000,260.0,2.0631,2.0752,129,-1.5998457979953904,0.5493446414803215,5.980146491904399,5,365,5.263995580695949,-0.0017423208039607171,5.995192307692309,0.016999999999999904,0.824,0.0226,-4.364072519260036,-5.324930355756498,0.8639729503983558,2.9891950740627253,-0.27031713438284216,-0.5830763299923005,6333708.3875969,26442631.7,8913355.958333334,0.7105862726906297,2.9666302819734334,1.0099366887630512,0.7551821972190078,0.36663993208982976,5.740351596535281,1.1390625757355366,down,continuation,strong_down,7,2
weekly,2025-03-10,week_low,1741640400000,1741652400000,200.0,1.9907,1.9901,141,8.170443696296662,8.703080247223758,4.768604592734032,685,30,4.927555628854177,0.0692031231207346,3.6832319983920363,0.03389999999999982,1.7029,4.6733,-0.5970591137866487,-2.0851560221638934,0.7729929819272077,2.365085053154674,-0.04808241370121447,0.030149238731718705,5587200.24680851,28259792.5,4323106.183333334,1.292404120987955,6.5369184335440655,2.1388105030325506,0.9914893664104576,0.7469124935208574,5.039046010975091,8.670316973928774,up,rejection,strong_up,8,2
weekly,2025-03-14,week_high,1741986000000,1742013300000,455.0,2.4589,2.4658,90,-1.9790737286073647,0.3487711898775221,3.7756509043718136,0,175,2.085898414865968,-0.018805190971664252,3.743207072755303,0.02190000000000003,0.8906,5.6095,1.305299681936473,2.7827836218096578,0.3969300024332905,1.1689786639867001,0.09335946582190185,-0.2798280476924467,2845134.9477777774,11396240.8,3161493.9875000003,0.899933689270626,3.604701082797805,1.038139760181973,1.1270404005473376,0.5346209070825675,0.6303631705234167,3.6329919500990364,down,rejection,strong_down,9,1
weekly,2025-03-26,week_low,1743022800000,1743024900000,35.0,2.3552,2.3482,174,-0.5919427646708126,1.7076909973596903,0.9709564773017508,315,90,1.9848609697482644,0.002277236771278023,2.1463005659191,0.03270000000000017,1.3884,39.718,-0.9304274937133369,-0.4715789473684252,0.28940606989751183,0.8283842314074943,-0.0041278800387513,0.29810067285580943,1628407.8063218389,16988273.5,2088446.6500000001,0.7797220035866556,8.134406258354744,1.076544302139253,0.5464364156604804,0.7161852929602338,1.281499956996638,1.4054008152173967,down,indecisive,neutral,10,0
weekly,2025-03-27,week_low,1743109200000,1743131400000,370.0,2.3005,2.3044,107,-3.5367123763235413,0.3688595729908078,4.908002082971697,60,495,2.373214652923416,-0.0409398020707548,5.077415448490613,0.007800000000000029,0.3391,2.5944,-0.9661213448409105,-0.7445023023626154,0.2768254932592742,0.9971626452731431,-0.026948157289167267,-0.1692414511369464,3160934.947663552,21377568.4,1739768.4083333332,1.8168711033738512,12.287594312900143,1.910007705506983,1.8218030345490779,1.7241035718659434,4.983343220919088,0.5390132579873925,down,continuation,strong_down,11,2
weekly,2025-03-28,week_low,1743195600000,1743217200000,360.0,2.1522,2.1569,109,-3.5189392183225863,1.2796142612082189,4.501831332004254,65,525,3.0210466757280487,-0.04219331674935003,5.552755761213175,0.012499999999999734,0.5808,5.0484,-1.3787436084733282,-2.045073232666744,0.32975566785664634,1.0572658929879108,-0.07815980762840662,-0.2179053270897911,3585083.281651376,15732825.2,2239303.875,1.6009811449334341,7.02576607652233,1.4297924877807544,1.3538579855908717,2.007987236658535,4.485872414797555,1.5007898894154712,down,continuation,strong_down,12,2
weekly,2025-04-02,week_low,1743627600000,1743632400000,80.0,2.0224,2.0363,165,-0.2406325197662489,2.1853361488974983,2.6371359819280213,405,20,3.521458038364806,-0.0008260695365990467,3.03803562831006,0.019600000000000062,0.9691,0.4423,-2.599952118745512,-7.837984777093151,1.0190050581937795,2.755642389773658,-0.16055213810694346,-0.6826106172960773,3552854.97030303,25408622.5,10035659.2,0.35402307905224906,2.531833932742555,0.580182550530322,0.22105669713890208,0.2608299894875231,2.0074649450217033,2.8876582278480902,down,rejection,neutral,13,0
weekly,2025-04-22,week_high,1745355600000,1745358000000,40.0,2.1923,2.1929,173,3.1419581376259833,4.934105522367645,0.7205070910666258,685,0,3.7326771758482242,0.019914368612365552,2.318750278161033,0.017600000000000282,0.8028,5.009,1.1743953952560042,1.7031403107647891,0.25802970191679403,0.8247034715403784,0.038989163829778656,-0.027361028774678914,3660984.7971098255,23321684.8,1873436.6625000003,1.9541545601143722,12.448611296460093,2.5917506790039466,1.39295832558803,1.8803445023397252,4.962824430962916,0.6981764732901614,up,continuation,strong_up,14,0
weekly,2025-05-05,week_low,1746478800000,1746497100000,305.0,2.1052,2.1045,120,-0.684248039914457,0.9265858873841909,1.2449512948443706,145,375,1.61971015358057,-0.009400483861245939,1.7811704834605522,0.011500000000000288,0.5463,5.6242,-0.6913092550790038,-0.8870740636440401,0.23758612497030282,0.8402540265106742,-0.025837248222718667,0.03326205749584914,1717132.138333333,7120978.2,1556264.625,1.103367711858986,4.575685963433115,1.0388375498800535,1.2727201535535768,0.9985454321433284,1.2943270942597278,0.8930267908037313,down,continuation,neutral,15,2
weekly,2025-05-08,week_high,1746738000000,1746738900000,15.0,2.3188,2.3105,178,3.3066435836398864,5.141744211209685,1.3027483228738372,845,75,4.780201459953144,0.022796612910424282,2.8751346424724646,0.01770000000000005,0.7633,0.2727,1.9118428040361184,2.6569186875891626,0.419461876938613,1.1558007284854814,0.11784927587848831,0.35922960398181136,4926379.231460675,41383228.6,5854125.658333334,0.8415226318977259,7.069070774231003,0.6236803493269543,0.4369842233563525,1.453530311491335,4.7653958944281545,1.6839151026135664,up,continuation,strong_up,16,0
weekly,2025-05-09,week_high,1746824400000,1746871800000,790.0,2.4293,2.4164,23,-1.125641450091031,0.9104452905148254,2.002979639132594,0,90,1.3406531325713238,-0.07768064471172957,1.8325473649375454,0.03320000000000034,1.3666,9.9669,1.3698052769114135,0.5392525708552853,0.3169315234784524,1.1223757741897562,-0.008093073062717171,0.53385201125642,5284653.44347826,24143207.9,2952856.829166667,1.789674796041383,8.176220283193857,2.6443683650987997,1.6476111039128871,1.2354071139855565,0.37459350430165517,2.5886824324324382,down,rejection,strong_down,17,3
weekly,2025-05-16,week_low,1747429200000,1747444800000,260.0,2.3275,2.3349,129,0.7666281211186595,2.278470170028691,1.0407297957086046,350,25,2.1252185187773507,0.006751935379549506,1.8267135914194772,0.013199999999999878,0.5671,3.1009,-1.3004560040533575,-1.5664477008590156,0.42203806015960776,1.214310323857481,-0.09382323951374462,-0.316930061244596,1779317.9449612403,10471600.1,3124978.783333333,0.5693856081362858,3.3509347826132174,0.7826018759496545,0.43023654706584186,0.49531840139336114,0.7314117545226407,2.603651987110633,up,rejection,neutral,18,2
weekly,2025-05-22,week_high,1747947600000,1747964100000,275.0,2.4553,2.4529,126,-4.4111052223898275,1.0966610950303692,4.981858208650978,60,625,2.4517900141850943,-0.015103452685642903,5.2761281460832965,0.010700000000000376,0.4358,1.7912,0.981726683991257,0.9192843597988286,0.26295405438460573,0.8966046749680974,0.02732565749953803,0.097843369073331,3252683.7230158728,32771737.0,2001958.3041666665,1.6247509831978404,16.369839937121736,1.4343693711467342,1.227883327386661,2.2120002510601267,0.9978414043090534,5.3460333805294376,down,rejection,strong_down,19,2
weekly,2025-05-26,week_low,1748293200000,1748308800000,260.0,2.2644,2.2748,129,2.0265517847722894,2.0968876384737056,0.45718304905924667,590,0,1.419310400412143,0.011946537673563011,0.849440929184366,0.013199999999999878,0.5829,4.8,-1.4156456989479946,-1.1760621446860176,0.19873541996365868,0.6242976271781462,-0.03434272876588189,-0.45718304905924667,1470805.5759689924,13418025.3,1616534.5708333335,0.909850987727892,8.300487686497744,0.9390858674831,0.9841588243736509,0.8063082713269245,0.0,2.565801095212842,up,rejection,strong_up,20,2
weekly,2025-05-29,week_low,1748552400000,1748565900000,225.0,2.2244,2.2165,136,-0.48274306338822165,0.9248815700428688,4.083013760433117,0,10,3.0072549283116827,-0.004654525118797492,2.783667944958272,0.020500000000000185,0.9216,1.8215,-0.6667555674089738,-1.4552189443047985,0.3064140160914376,0.9972832426854724,-0.05826244173851691,0.35641777577262534,3181174.6022058823,61195403.0,2818984.3708333336,1.1284825255222966,21.70831581514222,1.916819800743574,0.7724587787624835,0.705567117244777,4.628410159924754,0.5664448840136641,down,continuation,neutral,21,2
