audit_scope,symbol,tp_r,entry_ts_utc,exit_ts_utc,entry_price,stop_init,risk,baseline_r,managed_r,delta_r,managed_reason,hold_5m_bars
first_25_be_exits,XRPUSDT,8.0,2025-10-15T16:00:00+00:00,2025-10-15T16:00:00+00:00,2.4326,2.4231,0.0095,-1.0768189473684204,0.6231810526315794,1.6999999999999997,BE,1
first_25_be_exits,XRPUSDT,8.0,2025-10-16T16:00:00+00:00,2025-10-16T16:50:00+00:00,2.354,2.3294,0.0245999999999999,-1.0287073170731709,0.6712926829268311,1.700000000000002,BE,11
first_25_be_exits,XRPUSDT,8.0,2025-10-30T16:00:00+00:00,2025-10-30T16:05:00+00:00,2.4525,2.4431,0.0094000000000002,-1.0782712765957423,0.6217287234042389,1.699999999999981,BE,2
first_25_be_exits,XRPUSDT,8.0,2025-11-06T16:00:00+00:00,2025-11-06T16:00:00+00:00,2.2332,2.2266,0.0066000000000001,-1.1015090909090883,0.5984909090909049,1.699999999999993,BE,1
first_25_be_exits,XRPUSDT,8.0,2025-11-10T12:00:00+00:00,2025-11-10T14:45:00+00:00,2.54,2.5725,0.0324999999999997,-1.023446153846154,0.676553846153846,1.6999999999999997,BE,34
first_25_be_exits,XRPUSDT,8.0,2025-11-18T08:00:00+00:00,2025-11-18T15:50:00+00:00,2.1601,2.1051,0.0549999999999997,-1.0117823636363636,0.6882176363636395,1.7000000000000033,BE,95
first_25_be_exits,XRPUSDT,8.0,2025-12-05T20:00:00+00:00,2025-12-07T04:35:00+00:00,2.0362,2.011,0.0251999999999998,-1.0242404761904762,0.6757595238095307,1.7000000000000068,BE,392
first_25_be_exits,XRPUSDT,8.0,2025-12-11T04:00:00+00:00,2025-12-11T04:10:00+00:00,1.9981,1.9911,0.0069999999999998,-1.0856328571428584,0.6143671428571702,1.7000000000000286,BE,3
first_25_be_exits,XRPUSDT,8.0,2025-12-11T16:00:00+00:00,2025-12-11T18:40:00+00:00,1.9954,1.974,0.0214,-1.0279728971962616,0.6720271028037352,1.6999999999999968,BE,33
first_25_be_exits,XRPUSDT,8.0,2025-12-12T16:00:00+00:00,2025-12-12T16:00:00+00:00,1.9768,1.9662,0.0105999999999999,-1.055947169811321,0.644052830188681,1.700000000000002,BE,1
first_25_be_exits,XRPUSDT,8.0,2025-12-15T00:00:00+00:00,2025-12-15T02:10:00+00:00,1.9771,1.946,0.0311000000000001,-1.0190717041800643,0.6809282958199351,1.6999999999999993,BE,27
first_25_be_exits,XRPUSDT,8.0,2025-12-17T12:00:00+00:00,2025-12-17T13:45:00+00:00,1.9123,1.8954,0.0169000000000001,-1.0339461538461536,0.6660538461538412,1.6999999999999948,BE,22
first_25_be_exits,XRPUSDT,8.0,2025-12-18T20:00:00+00:00,2025-12-18T20:00:00+00:00,1.8052,1.7987,0.0064999999999999,-1.0833169230769235,0.6166830769230899,1.7000000000000135,BE,1
first_25_be_exits,XRPUSDT,8.0,2025-12-24T08:00:00+00:00,2025-12-24T11:00:00+00:00,1.8536,1.836,0.0175999999999998,-1.0315954545454549,0.6684045454545451,1.7,BE,37
first_25_be_exits,XRPUSDT,8.0,2026-01-02T20:00:00+00:00,2026-01-02T20:30:00+00:00,1.9911,1.9973,0.0061999999999999,-1.0963435483870971,0.6036564516129066,1.7000000000000037,BE,7
first_25_be_exits,XRPUSDT,8.0,2026-01-29T16:00:00+00:00,2026-01-29T16:55:00+00:00,1.8,1.7845,0.0155,-1.0348387096774192,0.6651612903225793,1.6999999999999984,BE,12
first_25_be_exits,XRPUSDT,8.0,2026-02-11T16:00:00+00:00,2026-02-11T16:10:00+00:00,1.3532,1.345,0.0081999999999999,-1.0495073170731708,0.65049268292684,1.7000000000000108,BE,3
first_25_be_exits,XRPUSDT,8.0,2026-02-23T04:00:00+00:00,2026-02-23T12:35:00+00:00,1.3403,1.329,0.0113,-1.0355831858407076,5.464416814159282,6.499999999999989,BE,104
first_25_be_exits,XRPUSDT,8.0,2026-02-24T00:00:00+00:00,2026-02-24T00:00:00+00:00,1.3512,1.3473,0.0039,-1.103938461538461,0.5960615384615674,1.7000000000000286,BE,1
