stream,mfe_bucket,n_trades,win_pct,avg_r,total_r,tp_hits,be_hits,sl_hits
S1,0-1R,46,0.0,-1.009,-46.41,0,0,46
S1,1-2R,11,0.0,-1.01,-11.11,0,0,11
S1,2-3.5R,14,0.0,-1.0096,-14.13,0,0,14
S1,3.5-6.5R,15,0.0,-1.0092,-15.14,0,0,15
S1,6.5-10R,6,0.0,-1.0088,-6.05,0,0,6
S1,>10R,15,93.33,11.1246,166.87,14,0,1
S2,0-1R,111,0.0,-1.0118,-112.31,0,0,111
S2,1-2R,45,0.0,-1.0125,-45.56,0,0,45
S2,2-3.5R,88,78.41,2.1237,186.89,69,0,19
S2,3.5-6.5R,16,100.0,2.9852,47.76,16,0,0
S2,<=0R,3,0.0,-1.0197,-3.06,0,0,3
S2,>10R,1,100.0,2.9702,2.97,1,0,0
S3,0-1R,16,0.0,-0.7792,-12.47,0,0,16
S3,1-2R,3,0.0,-0.7189,-2.16,0,0,3
S3,2-3.5R,5,0.0,-0.8711,-4.36,0,0,5
S3,3.5-6.5R,7,71.43,2.7347,19.14,5,0,2
S3,6.5-10R,1,100.0,4.2275,4.23,1,0,0
S3,<=0R,1,0.0,-0.8719,-0.87,0,0,1
S4,0-1R,24,0.0,-1.0101,-24.24,0,0,24
S4,1-2R,2,0.0,-1.0149,-2.03,0,0,2
S4,2-3.5R,2,0.0,-1.0146,-2.03,0,0,2
S4,3.5-6.5R,1,100.0,0.993,0.99,0,1,0
S4,6.5-10R,1,100.0,0.9932,0.99,0,1,0
S4,>10R,1,100.0,0.9814,0.98,0,1,0
S5,0-1R,39,0.0,-1.0082,-39.32,0,0,39
S5,1-2R,9,0.0,-1.0091,-9.08,0,0,9
S5,2-3.5R,5,0.0,-1.0072,-5.04,0,0,5
S5,3.5-6.5R,23,52.17,2.1203,48.77,12,0,11
S5,>10R,1,100.0,4.992,4.99,1,0,0
